index_seg,csl
102,3.0000000000000004
127,4.0
179,3.0
180,3.0
181,3.0000000000000004
183,2.0
253,2.0
257,3.0
258,2.9999999999999996
269,4.0
577,2.9999999999999996
580,4.0
581,4.0
582,3.0
583,3.0000000000000004
613,3.846153846153846
648,3.0
650,3.0
651,2.9999999999999996
659,2.0
664,3.0000000000000004
670,4.0
673,3.0000000000000004
674,3.0
677,2.0
681,2.0
682,2.0
683,2.0
725,2.0
726,3.428571428571428
808,3.0
809,3.0
893,1.0
973,2.0
974,2.0
977,3.0000000000000004
1001,3.0000000000000004
1002,3.0
1003,2.9999999999999996
1189,5.0
1278,4.0
1533,4.0
2635,3.0
2639,3.0
2641,2.0
2653,3.0
2662,1.0
2663,1.0
2664,1.0
2671,2.5555555555555554
2672,2.0
2673,3.0
2674,3.0000000000000004
2675,3.0
2733,1.0
3149,2.0
3382,2.0
3383,5.0
3387,3.0
3388,2.9999999999999996
3389,3.4000000000000004
3593,4.0
3719,3.5
3720,3.0000000000000004
3722,3.0
3946,3.4285714285714293
4270,2.9999999999999996
4385,5.0
4386,4.0
4419,4.0
4430,4.0
4431,4.0
4481,3.0000000000000004
4570,4.0
4737,3.0
4789,3.5
4873,3.0
4874,2.0
4998,3.0000000000000004
5203,3.0000000000000004
5210,5.0
5231,3.0
5284,3.0000000000000004
5286,2.5
5287,4.0
5367,3.0000000000000004
5456,3.0000000000000004
5665,4.0
5671,4.0
5672,4.0
5673,3.375
5749,3.0000000000000004
5750,3.0
5752,3.0
5753,3.0000000000000004
5754,4.0
5758,4.0
5760,5.0
6000,3.0
6217,3.5
6218,3.5
6332,2.9999999999999996
7312,3.0
7313,2.9999999999999996
7316,3.4999999999999996
7322,4.0
7647,4.0
7725,4.0
7727,4.0
7728,2.5
7729,2.5
7771,2.0
7774,3.0000000000000004
7775,3.0
7878,2.0
7879,2.0
7880,5.0
7881,4.071428571428572
7882,3.0
7883,3.0
8260,3.0
8310,3.0
8348,4.0
8952,2.666666666666667
8955,2.5
9299,3.0
9303,2.0
9304,2.0
9475,4.0
9476,4.0
9603,1.5
9604,1.0
9605,1.0
9751,2.0
9856,4.0
9859,2.0
9860,2.0
9873,3.0000000000000004
9876,4.0
9877,4.0
10448,5.0
10449,5.0
10450,3.647058823529411
10451,4.0
10454,2.0
10595,4.0
11960,2.0
12047,2.0
12064,5.0
12065,3.6666666666666665
12259,4.0
12261,4.0
12262,3.0
12263,3.0000000000000004
12264,4.0
12265,4.0
12453,3.0000000000000004
12565,3.0
12567,4.0
12568,3.666666666666667
12847,3.0000000000000004
12848,3.0
13477,3.6999999999999997
13478,3.0
