index_seg,csl
97,3.0000000000000004
98,3.0000000000000004
127,2.0
132,2.0
183,2.0
250,4.0
251,2.0
253,2.0
257,2.9999999999999996
269,4.0
577,3.0000000000000004
582,3.0
583,3.0000000000000004
651,2.0
675,3.0000000000000004
676,3.0
677,3.0
778,4.0
779,4.0
808,3.0
809,4.0
968,4.0
969,4.0
977,3.0000000000000004
997,2.0
998,2.0
1000,3.0000000000000004
1001,3.0
1004,3.0000000000000004
1533,4.0
2635,2.0
2656,2.0
2657,2.0
2658,2.0
2662,1.0
2663,1.0
2664,1.0
2674,2.0
2675,2.0
2685,3.0000000000000004
3149,2.0
3380,2.9999999999999996
3382,4.0
3388,3.6249999999999996
3389,3.6666666666666665
3719,4.0
3946,4.0
3947,4.0
4014,3.0
4419,4.0
4480,2.9999999999999996
4481,3.0
4789,4.0
4790,4.0
4812,4.0
4871,3.0
4872,3.0000000000000004
4873,3.5
4874,3.5
4998,2.0
5208,4.0
5209,4.0
5287,3.0000000000000004
5340,3.0000000000000004
5341,2.9999999999999996
5668,3.0
5669,3.0000000000000004
5749,4.0
5750,4.0
6000,3.0
6214,3.0
6216,3.0
6217,3.0000000000000004
6939,4.0
7010,4.0
7016,4.0
7312,4.0
7316,3.0
7317,4.0
7318,4.0
7594,4.0
7646,4.0
7647,3.0
7725,4.0
7878,2.5
7879,2.5
8258,4.0
8310,4.0
8311,4.0
8458,4.0
8952,2.9999999999999996
9307,1.0
9603,2.0
9768,2.0
9822,3.0000000000000004
9855,4.0
9873,3.5
9874,2.0
9875,2.0
9881,2.0
9882,2.0
10394,4.0
11960,2.0
12047,2.0
12064,4.500000000000001
12065,3.0
12259,4.0
12261,4.0
12264,4.0
12265,4.0
12568,2.0
12898,5.0
