index_seg,csl
97,3.75
98,4.0
101,2.444444444444445
102,2.9999999999999996
103,2.7096774193548385
104,4.2
126,3.0000000000000004
127,3.9302325581395356
128,3.6363636363636362
132,2.0
134,3.0
135,3.0
136,3.7222222222222223
137,3.666666666666667
138,4.0
139,4.0
140,4.0
179,3.3333333333333335
180,3.0000000000000004
181,2.666666666666667
182,2.8947368421052633
183,3.0000000000000004
250,4.0
252,3.0
253,3.5454545454545454
254,4.5
255,3.0
256,3.0
257,3.0
258,2.9999999999999996
267,2.0
269,4.0
329,2.8000000000000003
330,2.6666666666666665
331,3.0
332,4.0
362,4.0
513,3.0000000000000004
574,3.0
575,3.45
577,3.5
578,2.6470588235294117
579,3.0
580,4.108695652173913
581,4.384615384615385
582,4.0
583,4.5
613,3.55
614,2.9999999999999996
615,3.0
616,3.6363636363636362
617,3.0
648,3.166666666666666
649,3.0000000000000004
651,2.9999999999999996
652,4.0
658,3.0
662,3.0
663,3.0000000000000004
664,3.0
665,3.388888888888889
666,3.5
668,3.0000000000000004
669,2.9999999999999996
670,4.0
671,3.0
672,2.6363636363636367
673,2.681818181818182
674,3.0
675,2.9999999999999996
677,2.75
679,3.0000000000000004
681,3.333333333333333
682,3.3333333333333335
683,2.5333333333333337
725,3.4705882352941173
726,2.666666666666667
741,3.0
742,3.0000000000000004
771,3.0
775,3.0
776,3.888888888888889
777,4.0
778,4.0
779,4.0
807,2.9999999999999996
808,3.0
809,2.625000000000001
893,3.0
894,3.0000000000000004
967,4.500000000000001
968,4.153846153846154
969,2.909090909090909
970,2.260869565217391
971,2.3333333333333335
972,2.8095238095238098
973,4.0
974,4.0
975,2.285714285714286
976,3.0
977,3.4615384615384612
993,3.0000000000000004
994,3.272727272727273
995,4.0
996,2.6500000000000004
997,2.3636363636363638
998,2.0
999,3.0
1000,2.9999999999999996
1001,3.083333333333333
1002,3.5
1003,2.8529411764705888
1004,2.4705882352941178
1189,5.0
1203,4.5
1204,4.0
1237,3.0000000000000004
1261,3.5
1278,3.333333333333333
1531,3.476190476190476
1532,3.666666666666667
1533,3.0
2177,3.0000000000000004
2254,4.178571428571429
2635,2.6666666666666665
2636,3.0
2637,3.0000000000000004
2638,3.0000000000000004
2639,3.0
2641,2.5
2650,3.4999999999999996
2651,1.0
2653,2.5
2654,2.692307692307692
2655,2.0
2656,2.0
2657,2.0
2658,2.0
2665,2.0
2671,3.346153846153846
2672,3.25
2673,3.0
2674,2.9999999999999996
2675,2.222222222222222
2676,2.6
2685,4.0
2733,4.0
3149,3.2352941176470584
3380,4.0
3381,4.0
3382,4.0
3383,3.0000000000000004
3385,3.375
3386,3.999999999999999
3387,3.25
3388,3.483870967741936
3389,3.3
3549,2.0
3550,2.0
3593,3.333333333333333
3717,2.0
3718,2.5
3719,3.0
3722,2.3749999999999996
3945,4.0
3947,3.5
4010,3.0
4012,2.0
4013,3.0
4014,2.999999999999999
4222,3.0
4270,2.5
4271,3.2857142857142856
4272,3.0000000000000004
4273,3.0
4385,4.230769230769231
4386,4.0
4387,3.6666666666666665
4418,3.388888888888889
4419,3.454545454545454
4429,4.0
4430,3.8
4431,3.882352941176471
4432,4.0
4472,4.0
4480,4.0
4481,4.0
4569,4.444444444444445
4570,5.0
4737,2.5
4789,4.0
4790,4.0
4791,4.0
4811,3.3571428571428563
4812,3.3076923076923075
4870,4.0
4871,3.5
4872,3.5
4874,3.0
4998,3.0000000000000004
5203,3.0
5207,3.4642857142857144
5208,2.75
5209,4.333333333333333
5210,4.388888888888888
5231,2.0
5284,2.3333333333333335
5285,3.272727272727273
5286,4.0
5287,4.0
5288,2.916666666666667
5340,3.6
5341,2.9999999999999996
5367,2.0
5455,2.5
5456,2.5
5457,3.5
5501,2.6363636363636362
5616,3.0000000000000004
5617,3.0000000000000004
5665,3.6296296296296298
5668,4.0
5669,4.0
5670,4.0
5671,3.590909090909091
5672,3.5
5673,3.8124999999999996
5748,4.0
5749,4.0
5750,3.6363636363636362
5751,3.5
5753,4.454545454545454
5754,4.111111111111111
5755,3.6470588235294117
5757,3.0
5758,3.28
5759,4.0
5760,4.090909090909091
5761,3.0
5762,4.500000000000001
5821,2.3125
6000,2.0250000000000004
6001,3.1428571428571432
6214,4.0
6215,3.777777777777778
6216,3.6206896551724137
6217,3.6
6218,4.185185185185185
6332,3.25
6333,5.0
6340,3.5
6939,4.0
6940,4.0
6941,4.0
6942,4.0
6943,3.0
6945,3.1
7010,3.4999999999999996
7011,3.84
7016,5.0
7312,3.454545454545454
7313,3.818181818181817
7316,3.777777777777778
7317,4.363636363636364
7318,5.0
7319,2.7692307692307687
7320,5.0
7321,5.0
7322,4.55
7592,2.9999999999999996
7593,3.3124999999999996
7594,3.434782608695652
7646,3.2857142857142856
7647,3.0
7684,2.8749999999999996
7725,4.0
7726,3.7272727272727266
7727,4.0
7728,3.0
7729,3.0
7769,4.5
7770,2.0
7771,2.0
7773,3.5
7774,4.0
7817,3.0
7818,3.0
7870,3.0
7879,4.0
7880,4.0
7881,3.5714285714285716
7883,3.5
8226,4.5
8258,5.0
8259,4.5
8260,4.064516129032258
8288,3.0
8289,3.5
8290,4.0
8291,4.0
8310,4.217391304347826
8311,5.0
8312,5.0
8345,4.0
8346,3.833333333333333
8347,3.0
8348,3.6470588235294112
8349,3.272727272727273
8458,3.7142857142857144
8952,2.666666666666667
8953,3.375
8954,3.0
8955,3.0
9298,1.0
9299,2.25
9300,3.0000000000000004
9306,1.2222222222222225
9307,2.0
9473,4.5
9474,4.0
9475,3.307692307692308
9476,3.545454545454545
9477,4.0
9603,2.0
9604,2.0
9605,1.72
9606,2.5757575757575757
9750,4.5
9751,4.0
9768,3.5
9855,4.0
9856,3.2499999999999996
9857,3.0
9858,4.0
9859,4.0
9860,4.0
9861,3.9090909090909087
9873,5.0
9874,3.4999999999999996
9875,3.5
9876,4.0
9877,4.0
9878,4.5
9879,3.9374999999999996
9880,3.0
9881,2.0
9882,1.7500000000000002
10394,4.0
10395,4.0
10396,3.6666666666666665
10403,3.8125
10448,3.8333333333333335
10449,4.352941176470588
10450,3.0
10453,3.0
10454,3.5
10595,3.4666666666666663
10982,3.0
11287,4.5
11484,3.5000000000000004
11485,3.0000000000000004
11886,3.5
11960,3.0
12064,4.000000000000001
12065,2.5
12259,4.45
12260,4.0
12261,4.0
12262,3.6666666666666665
12263,3.939393939393939
12264,4.0
12265,3.9310344827586206
12453,3.6666666666666665
12565,3.5238095238095237
12566,4.0
12567,3.2857142857142856
12568,3.1666666666666665
12847,3.6666666666666665
12848,3.666666666666667
12849,3.0000000000000004
12898,3.846153846153846
12942,4.0
13306,2.0
13435,3.0000000000000004
13447,4.5
13449,4.071428571428572
13477,3.23076923076923
13478,3.5
