index_seg,csl
101,3.0000000000000004
127,2.0
128,2.0
136,3.0
137,2.9999999999999996
251,1.0
252,1.0
330,1.0
331,1.0
513,3.0000000000000004
579,4.0
613,4.0
616,4.0
648,3.0
658,2.0
659,5.0
664,4.0
665,2.0
666,2.0
673,2.0
674,2.0
677,2.0
681,1.0
726,2.0
808,3.75
809,2.5
975,2.0
2177,1.0
2260,4.0
2652,1.0
2662,1.0
2663,1.0
2664,1.0
2674,5.0
2676,4.0
2685,2.0
2733,2.0
3380,2.0
3381,2.0
3383,3.0000000000000004
3387,3.0
3388,3.0
3593,4.0
3945,4.0
4012,1.0
4270,1.0
4271,2.0
4432,3.0
4569,5.0
4570,5.0
4789,4.0
4874,2.75
5287,5.0
5340,3.0
5452,4.0
5501,3.0
5665,4.0
5671,4.0
5672,4.0
5673,4.0
5754,5.0
6000,1.0
6333,2.0
6939,3.0
6942,4.0
6943,4.0
6944,4.0
6945,4.0
7316,2.0
7319,4.0
7320,4.5
7321,5.0
7322,5.0
7574,1.0
7647,2.0
7773,3.0
7774,3.0
7817,3.0
7818,3.0
7870,3.0
7878,3.0
7881,2.2222222222222223
7882,2.5
7883,2.5
8288,4.0
8289,4.0
8346,4.0
8348,3.0
8349,2.9999999999999996
8953,2.0
8954,2.0
9474,3.0000000000000004
9751,2.0
9856,4.0
9859,2.5
9860,3.3571428571428563
9861,4.8
9873,3.0000000000000004
9881,3.0
9882,1.7999999999999998
10393,4.0
10395,4.0
10396,4.0
12064,4.0
12065,3.0000000000000004
12262,4.0
12263,4.0
12265,4.0
12565,4.0
12566,4.0
12567,4.0
12849,3.0000000000000004
12898,5.0
12942,4.0
13435,3.0000000000000004
