index_seg,csl
1003,3.0000000000000004
1004,3.0
101,2.0
10394,3.0000000000000004
10452,2.9999999999999996
10454,2.0
10505,3.0000000000000004
10595,3.0000000000000004
11288,4.0
11289,4.0
11484,3.0
11485,3.0
11886,3.0000000000000004
11960,2.8000000000000003
1204,4.0
12047,2.0
12064,3.0
12261,4.0
127,4.0
128,3.0000000000000004
12849,3.0000000000000004
12898,4.0
136,3.0
137,2.9999999999999996
1531,4.0
1532,4.0
181,3.0
182,3.0000000000000004
2254,3.0000000000000004
2260,4.0
252,1.0
253,2.0
254,3.0000000000000004
255,3.0
256,3.0
257,3.0000000000000004
2635,2.0
2652,1.0
2656,2.9999999999999996
2657,3.0
2658,3.0
2671,2.9999999999999996
2672,3.0000000000000004
2676,4.0
2685,2.0
2733,2.0
3150,3.0000000000000004
331,3.0
332,3.0
3380,4.0
3387,3.0000000000000004
3388,3.0000000000000004
3593,3.0
362,3.0000000000000004
3717,2.0
3719,3.0
3946,4.0
3947,4.0
4012,2.0
4014,3.0
4271,2.0
4418,4.0
4481,3.0000000000000004
4569,4.142857142857143
4570,5.0
4789,3.5
4871,3.5
4872,3.153846153846154
4874,3.4999999999999996
4998,2.0
5207,4.0
5208,3.2499999999999996
5284,4.0
5285,4.0
5286,4.714285714285714
5287,2.9999999999999996
5288,3.2499999999999996
5367,2.9999999999999996
5458,3.0
5501,2.6363636363636362
5665,3.0
5673,3.0
579,4.0
580,4.0
5821,2.0
583,4.0
6000,1.0
613,3.5
6332,2.9999999999999996
651,2.0
658,2.0
659,3.5000000000000004
662,3.0
663,3.0
664,3.0000000000000004
672,2.0
673,2.0
675,2.0
676,2.0
677,2.0
681,2.2666666666666666
682,2.0
683,2.0
6939,3.0
6942,4.0
6943,4.0
6944,4.0
6945,4.0
7010,3.6470588235294112
7016,5.0
726,1.0
7316,3.0
7594,2.0
7646,2.0
7683,3.0
7726,3.0000000000000004
7727,3.0000000000000004
776,4.0
777,4.0
7773,4.0
7878,3.0
7879,4.0
7880,4.0
7881,2.0
809,2.6363636363636362
8258,4.0
8260,3.0
8290,4.0
8310,3.5882352941176467
8311,5.0
893,2.0
8952,2.9999999999999996
8953,4.0
9297,1.0
9298,1.0
9300,2.0
9474,3.0000000000000004
9603,2.0
973,4.0
974,4.0
975,2.0
9750,4.0
9751,3.0
976,3.0
9768,3.0
9858,3.0
9859,2.9999999999999996
9860,3.7272727272727266
9861,4.8
9873,3.0000000000000004
9874,3.0
9875,3.0
9881,2.0
9882,1.3333333333333335
