index_seg,csl
1003,3.0000000000000004
1004,3.0
101,2.0
10394,3.0000000000000004
10595,3.0000000000000004
11484,3.0
11886,3.0000000000000004
11960,3.0000000000000004
12047,2.0
12261,4.0
12263,4.0
12264,4.0
127,4.0
128,3.0000000000000004
12849,3.0000000000000004
12898,4.500000000000001
136,3.0
137,2.9999999999999996
1531,4.0
1532,4.0
1533,3.0
181,3.0
182,3.0000000000000004
253,3.0000000000000004
254,3.0000000000000004
255,3.0
256,3.0
257,3.0000000000000004
2653,2.0
2656,2.9999999999999996
2657,3.0
2658,3.0
2671,2.9999999999999996
2672,3.0000000000000004
2674,2.0
2675,2.0
2733,3.0
3149,3.0000000000000004
3380,4.0
3385,3.0
3387,3.4166666666666665
3388,3.4285714285714293
3389,3.0000000000000004
3719,3.0
3947,4.0
4012,2.0
4385,4.0
4418,4.0
4419,4.0
4569,3.0
4570,1.0
4737,2.0
4812,3.0
513,4.0
5207,4.0
5208,4.0
5209,4.714285714285714
5210,4.5
5284,4.0
5285,4.0
5286,4.555555555555555
5288,4.0
5367,2.9999999999999996
5501,2.6363636363636362
5616,3.5
5617,3.5
5669,4.0
5670,4.0
5671,4.0
5757,3.5
580,4.0
5821,2.0
6000,1.0
6217,4.0
6330,3.0000000000000004
6331,3.0000000000000004
6340,3.0000000000000004
649,2.0
662,3.0
663,3.0
664,3.0000000000000004
672,2.0
673,2.0
675,2.0
676,2.0
677,2.0
681,4.0
6939,3.0000000000000004
6941,3.0000000000000004
6942,3.0
6945,2.0
7010,4.0
7016,5.0
7313,3.0000000000000004
7317,5.0
7318,5.0
7322,4.0
7593,3.0
7594,3.0
776,4.0
777,4.0
7773,4.0
778,4.0
7879,4.0
7880,4.0
809,2.7777777777777772
8260,4.0
8290,4.0
8310,4.454545454545454
8311,5.0
8348,4.0
8349,4.0
893,3.0
8952,2.5
8953,4.0
9299,2.0
9300,2.0
9306,2.0
9307,2.0
9603,2.0
970,2.0
971,2.0
972,2.0
973,4.0
974,4.0
9750,4.0
976,3.0
9768,4.0
9855,3.0
9874,4.0
9875,4.0
