index_seg,csl
1003,3.0000000000000004
1004,2.9000000000000004
101,2.0
10394,4.0
10403,3.0
10448,3.0000000000000004
10595,3.5
11484,3.4999999999999996
11485,3.0000000000000004
1204,4.0
12064,3.4999999999999996
12263,4.0
12264,4.0
12265,4.0
127,4.0
1278,4.0
128,4.0
12898,3.2
13447,4.0
13449,4.0
136,3.4999999999999996
137,3.5
1531,3.5
1532,3.4999999999999996
1533,3.0
180,3.0
181,2.9999999999999996
182,3.0000000000000004
183,3.0000000000000004
2177,3.0000000000000004
253,3.0000000000000004
254,3.0000000000000004
255,3.0
256,3.0
257,3.0000000000000004
258,3.0000000000000004
2635,2.0
2641,3.0
2656,2.9999999999999996
2657,3.0
2658,3.0
2671,4.0
2672,4.0
2674,3.0000000000000004
2675,2.0
2685,4.0
269,4.0
2733,4.0
3149,3.0
330,3.0
331,3.0
3380,4.0
3383,2.0
3387,3.0000000000000004
3388,3.6
3389,3.0000000000000004
3717,2.0
3945,4.0
3947,4.0
4014,2.0
4271,3.0
4272,3.0
4273,3.0
4385,4.0
4387,3.0000000000000004
4418,4.0
4430,3.0000000000000004
4431,3.0000000000000004
4432,4.0
4481,4.0
4569,3.4999999999999996
4871,3.0
4872,3.818181818181818
4874,4.0
4998,3.0000000000000004
5203,3.0000000000000004
5207,3.0
5208,3.0000000000000004
5210,4.0
5285,4.0
5286,4.714285714285714
5288,4.0
5367,2.0
5457,4.0
5501,1.0
5616,3.0000000000000004
5617,3.0000000000000004
5669,4.0
5670,4.0
5671,4.0
5673,4.0
574,3.0
5749,4.0
5750,3.3
5757,3.0
5758,4.0
578,3.0
579,3.0
580,4.0
581,4.0
582,4.0
5821,2.0
583,4.0
6000,2.333333333333333
617,3.0000000000000004
6332,2.9999999999999996
651,2.9999999999999996
652,4.0
658,3.0000000000000004
665,4.0
666,4.0
677,3.0000000000000004
681,3.5
6945,3.4999999999999996
7010,4.0
7011,4.0
7016,5.0
725,3.0000000000000004
726,3.3
7316,3.0
7317,4.375
7318,5.0
7320,5.0
7321,5.0
7322,5.0
7593,3.0
7594,2.909090909090909
7646,2.0
7647,3.0
771,3.0000000000000004
7727,4.0
7728,3.0000000000000004
7729,3.0
776,4.0
777,4.0
7773,4.0
7774,4.0
778,4.0
779,4.0
7880,3.0
7881,3.0
809,3.0000000000000004
8260,4.0
8290,4.0
8310,4.454545454545454
8311,5.0
8345,4.0
8346,3.5
8347,3.0
8348,4.0
8349,4.0
8458,4.0
893,3.0
894,3.0
8952,2.0
8953,4.0
8955,3.0000000000000004
9299,3.0
9306,1.3636363636363635
9307,2.0
97,3.4999999999999996
970,2.0
971,2.0
972,3.0909090909090904
973,4.0
974,4.0
976,3.0
9768,3.3333333333333335
977,2.9999999999999996
9856,4.0
9857,3.0
9858,4.0
9859,4.0
9861,4.0
9874,3.3333333333333335
9875,3.3333333333333335
9881,2.0
9882,2.0
