index_seg,csl
1004,3.0000000000000004
101,2.5
10394,4.0
10403,3.0
10448,3.5454545454545454
10449,5.0
10595,3.0000000000000004
11484,3.0
11485,3.0000000000000004
11960,2.0
12047,1.0
12064,4.0
12263,4.0
12264,4.0
12265,4.0
12567,2.0
12568,2.0
1261,2.0
127,4.0
1278,4.0
128,4.0
12849,3.0000000000000004
12898,4.0
134,3.0
13447,4.0
13449,4.0
136,3.4999999999999996
137,3.5
140,4.0
1531,4.0
1532,4.0
181,3.0
182,3.0000000000000004
2177,3.0000000000000004
2254,3.0000000000000004
253,2.0
258,3.0000000000000004
2635,2.0
2641,3.0
2656,2.9999999999999996
2657,3.0
2658,3.0
2674,3.0000000000000004
2675,3.0
269,4.0
330,3.0
331,3.0
3387,2.9999999999999996
3388,3.666666666666667
3389,3.0000000000000004
3717,2.0
3720,2.0
3721,2.0
3946,4.0
3947,4.0
4012,2.0
4014,3.0
4271,3.0
4272,3.0
4273,3.0
4418,4.0
4429,4.0
4430,4.0
4432,4.0
4481,4.0
4569,3.4999999999999996
4812,3.0
4871,3.0
4872,3.0000000000000004
4874,4.0
4998,2.5
513,3.0000000000000004
5209,5.0
5210,5.0
5285,4.0
5286,4.0
5288,4.0
5367,2.0
5457,4.0
5673,4.0
574,3.0
5750,3.0000000000000004
5751,3.0
5755,4.0
5756,2.0
5758,4.0
5759,2.9999999999999996
580,4.0
581,3.818181818181818
582,3.6875
583,4.0
6000,2.1999999999999997
6001,2.0
6215,3.0000000000000004
6216,3.0000000000000004
651,2.5
658,3.0000000000000004
665,4.0
666,4.0
675,3.0000000000000004
676,3.0
677,4.454545454545454
681,3.5
6945,3.4999999999999996
7010,4.0
726,3.5000000000000004
7317,4.0
7573,3.0000000000000004
7647,3.0
771,3.0000000000000004
7727,4.0
7769,3.0
7773,4.0
7774,4.0
778,4.0
779,4.0
7878,2.0
7883,3.0000000000000004
809,3.0000000000000004
8258,4.0
8260,4.0
8290,4.0
8310,4.0
8458,4.0
893,3.0
894,3.0
8953,2.0
9299,2.5
9306,2.0
9307,2.0
9603,1.0
9605,2.9999999999999996
9606,3.0000000000000004
968,3.0
969,3.0
97,4.0
970,3.0
971,3.0
972,3.0
976,2.545454545454545
9768,3.0
977,2.0
98,3.0
9858,3.3333333333333335
9859,3.333333333333333
9861,3.8000000000000003
9873,3.0000000000000004
9874,3.0
9875,3.0
