index_seg,csl
10393,4.0
12065,3.0000000000000004
12265,4.0
2260,4.0
252,1.0
2652,1.0
2676,4.0
2685,2.0
2733,2.0
3383,3.0000000000000004
3387,3.0
3388,3.0
4012,1.0
4271,2.0
4569,5.0
4570,5.0
4789,4.0
4874,5.0
513,3.0000000000000004
5287,5.0
5452,4.0
579,4.0
613,4.0
648,3.0
658,2.0
659,5.0
664,4.0
677,2.0
681,1.0
6939,3.0
6942,4.0
6943,4.0
6944,4.0
6945,4.0
726,2.0
7647,2.0
7878,3.0
7881,2.285714285714286
7882,3.0
7883,3.0
808,3.0000000000000004
809,2.0
8288,4.0
8289,4.0
975,2.0
9751,2.0
9859,2.5
9860,3.3571428571428563
9861,4.8
9882,1.0
