,index_seg,cycle_lane,is_shared,cycle_way,side_walk,bikable
0,8,,0,,both,
1,9,,0,,both,
2,15,,0,,both,
3,25,,0,,both,
4,26,,0,,both,
5,27,,0,,both,
6,28,,0,,both,
7,29,,0,,both,
8,30,,0,,both,
9,31,,0,,both,
10,52,,0,,both,yes
11,53,,0,,both,yes
12,54,,0,,both,yes
13,55,,0,,both,yes
14,56,,0,,both,
15,57,,0,,both,
16,58,,0,,both,
17,59,,0,,both,yes
18,60,,0,,both,yes
19,62,,0,,both,
20,63,,0,,both,
21,64,,0,,both,
22,65,,0,,both,
23,66,,0,,both,
24,67,,0,,both,
25,68,,0,,both,
26,69,,0,,both,
27,70,,0,,both,
28,71,,0,,both,
29,72,,0,,both,
30,73,,0,,both,
31,74,,0,,both,
32,75,,0,,both,
33,76,,0,,both,
34,77,,0,,both,
35,78,,0,,both,
36,79,,0,,both,
37,80,,0,,both,
38,81,,0,,both,
39,82,,0,,both,
40,83,,0,,both,
41,84,,0,,both,
42,87,,0,,left,
43,88,,0,,left,
44,95,,0,,,yes
45,96,both,0,,both,
46,97,,0,,both,yes
47,101,,0,,,yes
48,111,,0,,both,
49,112,,0,,both,
50,113,,0,,both,
51,114,,0,,both,
52,115,,0,,both,
53,116,,0,,both,
54,117,,0,,both,
55,118,,0,,both,
56,119,,0,,both,
57,120,,0,,both,
58,121,,0,,both,
59,122,,0,,both,
60,123,,0,,both,
61,126,,0,,,yes
62,127,,0,,,yes
63,128,,0,,,yes
64,129,,0,,,yes
65,130,,0,,,yes
66,131,,0,,,yes
67,132,,0,,,yes
68,136,one,0,,,
69,137,one,0,,,
70,138,one,0,,,
71,139,one,0,,,
72,140,one,0,,,
73,142,,0,,both,
74,143,,0,,both,
75,144,,0,,both,
76,151,,0,,both,
77,152,,0,,both,
78,153,,0,,both,
79,154,,0,,both,
80,155,,0,,both,
81,156,,0,,both,
82,157,,0,,both,
83,158,,0,,both,
84,159,,0,,both,
85,160,both,0,,,
86,178,,0,,both,
87,179,,0,,both,yes
88,180,,0,,both,yes
89,181,,0,,both,yes
90,182,,0,,both,yes
91,184,,0,,both,
92,185,,0,,both,
93,193,,0,,both,
94,194,,0,,both,
95,195,,0,,both,
96,196,,0,,both,
97,197,,0,,both,
98,214,,0,,,yes
99,215,,0,,,yes
100,216,,0,,,yes
101,217,,0,,,yes
102,218,,0,,,yes
103,219,,0,,,yes
104,220,,0,,both,yes
105,221,,0,,both,yes
106,222,,0,,both,yes
107,223,,0,,both,yes
108,224,,0,,both,yes
109,225,,0,,both,yes
110,226,,0,,both,yes
111,227,,0,,both,yes
112,228,both,0,,both,
113,229,both,0,,both,
114,230,both,0,,both,
115,231,both,0,,both,
116,236,,0,,both,
117,237,,0,,both,
118,238,,0,,both,
119,239,,0,,both,
120,240,,0,,both,
121,241,,0,,both,
122,242,,0,,both,
123,243,,0,,both,
124,244,,0,,both,yes
125,245,,0,,both,yes
126,246,,0,,both,yes
127,247,one,0,,both,yes
128,248,one,0,,both,yes
129,249,one,0,,both,yes
130,250,one,0,,both,yes
131,251,one,0,,both,yes
132,252,one,0,,both,yes
133,253,one,0,,both,yes
134,254,one,0,,both,yes
135,255,,0,,,yes
136,260,both,0,,,
137,261,both,0,,,
138,262,both,0,,,
139,263,both,0,,,
140,264,both,0,,,
141,265,both,0,,,
142,266,both,0,,,
143,267,both,0,,,
144,268,one,0,,,
145,269,one,0,,,
146,270,one,0,,,
147,271,one,0,,,
148,272,one,0,,,
149,281,both,0,,,
150,282,both,0,,,
151,284,one,0,,,
152,285,one,0,,,
153,286,one,0,,,
154,287,one,0,,,
155,288,one,0,,,
156,289,one,0,,,
157,290,,0,,both,
158,291,,0,,both,
159,292,,0,,both,
160,293,,0,,both,
161,294,,0,,both,
162,295,,0,,both,
163,296,,0,,both,
164,297,,0,,both,
165,298,,0,,both,
166,299,,0,,both,
167,300,,0,,both,
168,301,,0,,both,
169,302,,0,,both,
170,303,,0,,both,
171,304,,0,,both,
172,305,,0,,both,
173,306,,0,,both,
174,307,,0,,both,
175,308,,0,,both,
176,309,,0,,both,
177,310,,0,,both,
178,311,,0,,both,
179,312,,0,,both,
180,313,,0,,both,
181,314,,0,,both,
182,315,,0,,both,
183,316,,0,,both,
184,317,,0,,both,
185,318,,0,,both,
186,319,,0,,both,
187,320,,0,,both,
188,321,,0,,both,
189,322,,0,,both,
190,323,,0,,both,
191,324,,0,,both,
192,325,,0,,both,
193,326,,0,,both,
194,327,,0,,both,
195,328,,0,,,yes
196,329,,0,,,yes
197,330,,0,,,yes
198,331,,0,,,yes
199,332,,0,,,yes
200,333,,0,,,yes
201,334,,0,,,yes
202,336,,0,,,yes
203,337,,0,,,yes
204,360,,0,,both,
205,361,,0,,both,
206,362,,0,,both,
207,363,,0,,both,
208,364,,0,,both,
209,365,,0,,both,
210,367,,0,,both,
211,368,,0,,both,
212,369,,0,,both,
213,370,,0,,both,
214,371,,0,,both,
215,372,,0,,both,
216,373,,0,,both,
217,374,,0,,both,
218,375,,0,,both,
219,376,,0,,both,
220,377,,0,,both,
221,379,,0,,no,yes
222,381,both,0,,,yes
223,382,both,0,,,yes
224,383,one,0,,,yes
225,384,one,0,,,yes
226,385,one,0,,,
227,386,one,0,,,
228,387,one,0,,,yes
229,388,one,0,,,yes
230,389,one,0,,,yes
231,390,one,0,,,yes
232,406,,0,,,yes
233,408,,0,,,yes
234,409,,0,,,yes
235,413,,0,,both,
236,414,,0,,both,
237,415,,0,,both,
238,416,,0,,both,
239,417,,0,,both,
240,418,,0,,both,
241,419,,0,,both,
242,420,,0,,both,
243,421,,0,,both,
244,422,,0,,both,
245,423,,0,,both,
246,424,,0,,both,
247,425,,0,,both,
248,426,,0,,both,
249,427,,0,,both,
250,428,,0,,both,
251,429,,0,,both,
252,430,,0,,both,
253,431,,0,,both,
254,432,,0,,both,
255,433,,0,,both,
256,434,,0,,both,
257,435,,0,,both,
258,436,,0,,both,
259,437,,0,,both,
260,438,,0,,both,
261,440,,0,,both,
262,441,both,1,,both,
263,442,both,1,,both,
264,443,both,1,,both,
265,444,both,1,,both,
266,445,both,1,,both,
267,446,both,1,,both,
268,447,both,1,,both,
269,448,both,1,,both,
270,449,both,1,,both,
271,450,one,0,,,
272,451,one,0,,,
273,453,one,0,,,
274,454,one,0,,,
275,455,one,0,,,
276,456,one,0,,,
277,457,one,0,,,
278,458,one,0,,,
279,459,,0,,both,
280,460,,0,,both,
281,461,,0,,both,
282,462,,0,,both,
283,463,,0,,both,
284,464,,0,,both,
285,465,,0,,both,
286,466,,0,,both,
287,467,,0,,both,
288,468,,0,,both,
