index_seg,bkdc_total,Bus/Bike Lane,Climbing Lane,Contraflow Bike Lane,Cycle Track,Existing Bike Lane,Shared Lane
9413,1,0,0,1,0,0,0
523,1,0,0,0,0,1,0
8708,1,0,0,0,0,1,0
4471,1,0,0,0,0,1,0
6706,1,0,0,0,0,1,0
7792,1,0,0,0,0,1,0
576,1,0,0,0,0,1,0
919,1,0,0,0,0,1,0
12846,1,0,0,0,0,1,0
7283,1,0,0,0,0,1,0
4470,1,0,0,0,0,1,0
7518,1,0,0,0,0,1,0
12843,1,0,0,0,0,1,0
6713,1,0,0,0,0,1,0
11363,1,0,0,0,0,1,0
8232,1,0,1,0,0,0,0
3599,1,0,0,0,0,1,0
8610,1,0,0,0,0,0,1
231,1,0,0,0,0,1,0
4511,1,0,0,0,0,0,1
4665,1,0,0,0,0,1,0
5751,1,0,0,0,1,0,0
771,1,0,0,0,1,0,0
7346,1,0,0,0,0,1,0
4361,1,0,0,0,0,1,0
8957,1,0,0,0,0,1,0
7818,1,0,0,0,0,1,0
5617,1,0,0,0,0,1,0
6331,1,0,0,0,0,1,0
4355,1,0,0,0,0,1,0
4584,1,0,0,0,0,1,0
2755,1,0,0,0,0,1,0
6707,1,0,0,0,0,1,0
2549,1,0,0,0,0,0,1
7321,1,0,0,0,1,0,0
1790,1,0,0,0,0,0,1
2111,2,0,0,0,0,0,2
4477,1,0,0,0,0,1,0
3655,1,0,0,0,0,1,0
5672,1,0,0,0,0,1,0
839,1,0,0,0,0,1,0
4681,1,0,1,0,0,0,0
1562,1,0,0,1,0,0,0
8986,1,0,0,1,0,0,0
11480,1,0,0,0,0,1,0
4577,1,0,0,0,0,1,0
846,1,0,0,0,0,1,0
2498,1,0,0,0,0,0,1
7729,1,0,0,0,0,1,0
3649,1,0,0,0,0,1,0
140,1,0,0,0,0,1,0
1533,1,0,0,0,0,1,0
1774,1,0,0,0,0,1,0
614,1,0,0,0,0,0,1
4476,1,0,0,0,0,1,0
8959,1,0,0,0,0,1,0
4387,1,0,0,0,1,0,0
4426,1,0,0,0,0,0,1
4683,1,0,0,0,0,1,0
7289,1,0,0,0,0,1,0
11130,1,0,0,0,0,1,0
8961,1,0,0,0,0,1,0
923,1,0,0,0,0,1,0
4435,1,0,0,0,0,1,0
12270,1,0,0,0,0,1,0
2981,1,0,0,0,0,1,0
451,1,0,0,0,0,1,0
8703,1,0,0,0,0,1,0
4792,1,0,0,0,0,1,0
8692,1,0,0,0,0,0,1
9493,1,0,1,0,0,0,0
4788,1,0,0,0,0,1,0
8746,1,0,0,0,0,0,1
9804,1,0,0,1,0,0,0
5206,1,0,0,0,1,0,0
4999,1,0,0,0,0,1,0
895,1,0,0,0,1,0,0
809,1,0,0,0,0,1,0
8709,1,0,0,0,0,1,0
4840,1,0,0,0,0,1,0
821,1,0,0,0,0,1,0
1798,1,0,0,0,0,0,1
7785,1,0,0,0,0,1,0
6971,1,0,0,0,0,1,0
3652,1,0,0,0,0,1,0
4863,1,0,1,0,0,0,0
6704,1,0,0,0,0,1,0
3945,1,0,0,0,0,1,0
2903,1,0,0,0,0,0,1
4061,1,0,0,0,0,0,1
