index_seg,YEAR,MONTH,crime_total,METHOD_GUN,METHOD_KNIFE,METHOD_OTHERS,OFFENSE_ARSON,OFFENSE_ASSAULT W/DANGEROUS WEAPON,OFFENSE_BURGLARY,OFFENSE_HOMICIDE,OFFENSE_MOTOR VEHICLE THEFT,OFFENSE_ROBBERY,OFFENSE_SEX ABUSE,OFFENSE_THEFT F/AUTO,OFFENSE_THEFT/OTHER
0,2014.0,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,2014.0,5.0,2,0,0,2,0,0,0,0,0,0,0,1,1
0,2014.0,7.0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,2014.0,10.0,2,0,0,2,0,0,0,0,0,1,0,1,0
0,2014.0,11.0,2,1,0,1,0,0,0,0,0,1,0,1,0
0,2014.0,12.0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,2015.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,2015.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,2015.0,5.0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,2015.0,6.0,2,2,0,0,0,0,0,0,0,2,0,0,0
0,2015.0,8.0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,2015.0,9.0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,2015.0,12.0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,2016.0,2.0,1,1,0,0,0,0,0,0,0,1,0,0,0
0,2016.0,5.0,1,0,0,1,0,1,0,0,0,0,0,0,0
0,2016.0,9.0,4,0,0,4,0,0,0,0,0,0,0,1,3
0,2016.0,10.0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2015.0,4.0,1,0,0,1,0,0,0,0,0,1,0,0,0
1,2016.0,11.0,1,0,1,0,0,1,0,0,0,0,0,0,0
2,2014.0,5.0,2,0,0,2,0,0,0,0,1,0,0,0,1
2,2014.0,6.0,1,0,0,1,0,0,0,0,1,0,0,0,0
2,2014.0,10.0,1,0,0,1,0,0,0,0,0,0,0,1,0
2,2015.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,1
2,2015.0,8.0,1,0,0,1,0,0,0,0,1,0,0,0,0
3,2014.0,7.0,1,0,0,1,0,0,0,0,1,0,0,0,0
4,2014.0,5.0,2,1,0,1,0,0,0,0,0,2,0,0,0
4,2014.0,7.0,2,0,1,1,0,1,0,0,0,0,0,1,0
4,2014.0,9.0,1,0,0,1,0,0,0,0,1,0,0,0,0
4,2014.0,11.0,1,0,0,1,0,0,0,0,0,0,0,0,1
4,2015.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,1
4,2015.0,7.0,1,0,0,1,0,0,0,0,1,0,0,0,0
4,2015.0,8.0,1,0,0,1,0,0,0,0,0,1,0,0,0
4,2015.0,11.0,1,0,0,1,0,0,0,0,0,0,0,0,1
4,2015.0,12.0,1,0,0,1,0,0,0,0,0,0,0,1,0
4,2016.0,6.0,1,0,0,1,0,0,0,0,0,0,0,0,1
4,2017.0,5.0,1,0,1,0,0,1,0,0,0,0,0,0,0
5,2015.0,5.0,1,0,0,1,0,0,0,0,1,0,0,0,0
5,2015.0,11.0,1,0,0,1,0,0,0,0,1,0,0,0,0
