index_seg,MONTH,YEAR,MOTOR VEHICLE THEFT,ROBBERY,ASSAULT W/DANGEROUS WEAPON,THEFT/OTHER,THEFT F/AUTO,BURGLARY,ARSON,SEX ABUSE,HOMICIDE
10918,12.0,2014.0,1.0,1.0,1.0,2.0,1.0,,,,
9413,9.0,2015.0,,,,1.0,1.0,,,,
5251,9.0,2014.0,1.0,,,1.0,,,,,
9599,7.0,2014.0,,,,,1.0,,,,
10619,11.0,2014.0,1.0,,1.0,1.0,,1.0,,,
11702,10.0,2015.0,,1.0,1.0,,1.0,,,,
523,12.0,2016.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
7030,9.0,2016.0,,1.0,,,1.0,,,,
8708,12.0,2015.0,,,,2.0,,,,,
5302,12.0,2016.0,1.0,1.0,,1.0,2.0,,,,
4471,12.0,2015.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
7637,11.0,2015.0,1.0,1.0,,1.0,1.0,,,,
2177,12.0,2015.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1158,12.0,2015.0,,1.0,,2.0,1.0,,,,
7164,10.0,2016.0,1.0,1.0,1.0,1.0,,,,,
10397,11.0,2016.0,1.0,1.0,,1.0,1.0,1.0,,,
9738,10.0,2015.0,,,1.0,1.0,1.0,,,,
9309,12.0,2016.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
11296,12.0,2015.0,,1.0,,1.0,1.0,,,,
3288,6.0,2014.0,,,,1.0,,1.0,,,
11375,3.0,2014.0,,,,,1.0,,,,
9306,12.0,2015.0,1.0,1.0,1.0,3.0,1.0,1.0,,,
6706,12.0,2014.0,1.0,,,1.0,1.0,,,,
7586,12.0,2014.0,,1.0,,1.0,1.0,,,,
7792,12.0,2015.0,1.0,1.0,,1.0,1.0,1.0,,,
5808,10.0,2016.0,1.0,1.0,,1.0,1.0,,,,
12131,7.0,2015.0,,,,1.0,,,,,
576,10.0,2015.0,,,1.0,1.0,1.0,,,1.0,
6284,12.0,2014.0,1.0,1.0,,2.0,1.0,1.0,,,
8326,12.0,2015.0,2.0,1.0,1.0,1.0,1.0,,,,
8506,9.0,2016.0,1.0,1.0,,1.0,2.0,,,,
9958,10.0,2014.0,1.0,,1.0,,1.0,,,,
10398,10.0,2016.0,1.0,,1.0,,1.0,,,,
1974,8.0,2015.0,,,,,,1.0,,,
10869,12.0,2016.0,1.0,1.0,1.0,1.0,2.0,1.0,,,
6603,9.0,2014.0,1.0,1.0,1.0,1.0,1.0,,,,
8809,9.0,2014.0,,,1.0,,,,,,
6839,9.0,2014.0,,,,,1.0,,,,
8868,11.0,2016.0,1.0,1.0,1.0,1.0,1.0,,,1.0,
2640,12.0,2016.0,,1.0,1.0,2.0,1.0,1.0,,,
2166,11.0,2015.0,1.0,,,1.0,1.0,,,,
8528,10.0,2014.0,,1.0,,,1.0,,,1.0,
6197,12.0,2015.0,1.0,1.0,,2.0,1.0,1.0,,,
919,12.0,2014.0,,,,1.0,1.0,1.0,,,
7702,12.0,2014.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
5412,10.0,2016.0,,,,1.0,1.0,,,,
9679,9.0,2016.0,,1.0,,1.0,1.0,2.0,,,
3526,12.0,2015.0,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,
591,12.0,2016.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
10852,5.0,2015.0,,1.0,,,,,,,
