index_seg,LTS
0,2.0
1,1.0
2,1.0
3,2.0
4,2.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,2.0
12,1.0
13,2.0
14,1.0
15,2.0
16,2.0
17,2.0
18,1.0
19,1.0
20,2.0
21,2.0
22,2.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,4.0
35,3.0
36,2.0
37,2.0
38,2.0
39,2.0
40,1.0
41,1.0
42,1.0
43,2.0
44,2.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,2.0
51,1.0
52,1.0
53,4.0
54,4.0
55,4.0
56,4.0
57,3.0
58,3.0
59,3.0
60,2.0
61,2.0
62,3.0
63,3.0
64,2.0
65,3.0
66,3.0
67,3.0
68,3.0
69,2.0
70,3.0
71,3.0
72,3.0
73,3.0
74,3.0
75,3.0
76,4.0
77,3.0
78,3.0
79,3.0
80,3.0
81,3.0
82,3.0
83,3.0
84,4.0
85,4.0
86,2.0
87,3.0
88,3.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,3.0
96,3.0
97,3.0
98,2.0
99,2.0
100,2.0
101,2.0
102,4.0
103,3.0
104,3.0
105,1.0
106,1.0
107,1.0
108,1.0
109,2.0
110,2.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,3.0
124,3.0
125,3.0
126,3.0
127,3.0
128,3.0
129,4.0
130,2.0
131,3.0
132,3.0
133,3.0
134,3.0
135,3.0
136,3.0
137,2.0
138,2.0
139,2.0
140,1.0
141,2.0
142,3.0
143,2.0
144,2.0
145,2.0
146,1.0
147,2.0
148,2.0
149,2.0
150,2.0
151,3.0
152,3.0
153,3.0
154,3.0
155,3.0
156,2.0
157,4.0
158,3.0
159,3.0
160,3.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,4.0
180,4.0
181,4.0
182,3.0
183,4.0
184,3.0
185,3.0
186,3.0
187,3.0
188,3.0
189,3.0
190,2.0
191,2.0
192,1.0
193,2.0
194,2.0
195,1.0
196,2.0
197,2.0
198,2.0
199,2.0
200,2.0
201,1.0
202,1.0
203,1.0
204,1.0
205,2.0
206,2.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,2.0
219,2.0
220,3.0
221,3.0
222,3.0
223,4.0
224,3.0
225,3.0
226,3.0
227,3.0
228,3.0
229,3.0
230,3.0
231,3.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,4.0
245,4.0
246,4.0
247,4.0
248,3.0
249,3.0
250,3.0
251,3.0
252,3.0
253,3.0
254,3.0
255,4.0
256,4.0
257,4.0
258,3.0
259,3.0
260,3.0
261,3.0
262,3.0
263,3.0
264,3.0
265,3.0
266,3.0
267,3.0
268,2.0
269,2.0
270,2.0
271,2.0
272,2.0
273,1.0
274,2.0
275,2.0
276,1.0
277,1.0
278,1.0
279,1.0
280,2.0
281,3.0
282,3.0
283,2.0
284,3.0
285,3.0
286,3.0
287,3.0
288,3.0
289,3.0
290,2.0
291,2.0
292,2.0
293,2.0
294,2.0
295,2.0
296,2.0
297,2.0
298,2.0
299,2.0
300,2.0
301,2.0
302,2.0
303,3.0
304,3.0
305,3.0
306,3.0
307,3.0
308,2.0
309,2.0
310,2.0
311,2.0
312,2.0
313,2.0
314,2.0
315,2.0
316,2.0
317,2.0
318,2.0
319,2.0
320,2.0
321,2.0
322,2.0
323,2.0
324,2.0
325,2.0
326,2.0
327,3.0
328,4.0
329,4.0
330,4.0
331,4.0
332,4.0
333,4.0
334,4.0
335,4.0
336,4.0
337,4.0
338,4.0
339,4.0
340,4.0
341,4.0
342,4.0
343,4.0
344,4.0
345,4.0
346,4.0
347,4.0
348,3.0
349,3.0
350,2.0
351,2.0
352,2.0
353,1.0
354,1.0
355,1.0
356,1.0
357,2.0
358,2.0
359,2.0
360,2.0
361,1.0
362,2.0
363,2.0
364,2.0
365,2.0
366,2.0
367,2.0
368,1.0
369,1.0
370,2.0
371,2.0
372,1.0
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,10.0
380,4.0
381,3.0
382,3.0
383,3.0
384,3.0
385,3.0
386,3.0
387,3.0
388,3.0
389,3.0
390,3.0
391,4.0
392,4.0
393,4.0
394,4.0
395,4.0
396,4.0
397,4.0
398,4.0
399,4.0
400,4.0
401,4.0
402,4.0
403,4.0
404,4.0
405,2.0
406,2.0
407,2.0
408,2.0
409,2.0
410,2.0
411,1.0
412,1.0
413,1.0
414,1.0
415,1.0
416,1.0
417,1.0
418,1.0
419,1.0
420,2.0
421,2.0
422,1.0
423,1.0
424,1.0
425,1.0
426,1.0
427,1.0
428,1.0
429,1.0
430,1.0
431,1.0
432,1.0
433,1.0
434,1.0
435,1.0
436,1.0
437,1.0
438,1.0
439,1.0
440,2.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,2.0
451,2.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,1.0
464,1.0
465,1.0
466,1.0
467,2.0
468,2.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
474,1.0
475,1.0
476,1.0
477,1.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,1.0
486,1.0
487,1.0
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,1.0
495,1.0
496,1.0
497,3.0
498,3.0
499,3.0
500,3.0
501,2.0
502,2.0
503,2.0
504,3.0
505,3.0
506,3.0
507,2.0
508,1.0
509,1.0
510,4.0
511,3.0
512,3.0
513,3.0
514,3.0
515,3.0
516,3.0
517,3.0
518,3.0
519,3.0
520,3.0
521,3.0
522,3.0
523,3.0
524,3.0
525,3.0
526,3.0
527,2.0
528,2.0
529,2.0
530,2.0
531,2.0
532,1.0
533,2.0
534,2.0
535,1.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.0
541,1.0
542,1.0
543,1.0
544,1.0
545,1.0
546,1.0
547,1.0
548,2.0
549,2.0
550,2.0
551,2.0
552,1.0
553,1.0
554,1.0
555,1.0
556,1.0
557,1.0
558,1.0
559,1.0
560,1.0
561,1.0
562,1.0
563,1.0
564,1.0
565,1.0
566,1.0
567,1.0
568,1.0
569,1.0
570,1.0
571,4.0
572,3.0
573,4.0
574,3.0
575,3.0
576,3.0
577,2.0
578,2.0
579,3.0
580,3.0
581,3.0
582,3.0
583,2.0
584,2.0
585,3.0
586,3.0
587,3.0
588,3.0
589,2.0
590,2.0
591,2.0
592,1.0
593,1.0
594,1.0
595,1.0
596,1.0
597,4.0
598,4.0
599,4.0
600,4.0
601,4.0
602,4.0
603,4.0
604,4.0
605,3.0
606,3.0
607,3.0
608,3.0
609,3.0
610,3.0
611,3.0
612,3.0
613,4.0
614,4.0
615,4.0
616,3.0
617,3.0
618,4.0
619,3.0
620,4.0
621,3.0
622,2.0
623,3.0
624,3.0
625,3.0
626,3.0
627,2.0
628,3.0
629,3.0
630,3.0
631,3.0
632,3.0
633,3.0
634,3.0
635,3.0
636,3.0
637,3.0
638,3.0
639,3.0
640,3.0
641,3.0
642,3.0
643,3.0
644,3.0
645,3.0
646,3.0
647,4.0
648,4.0
649,4.0
650,4.0
651,4.0
652,4.0
653,4.0
654,4.0
655,4.0
656,3.0
657,3.0
658,3.0
659,3.0
660,3.0
661,3.0
662,3.0
663,3.0
664,3.0
