,index_seg,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,poi_total
0,0,0,0,2,0,0,0,0,0,1,0,3
1,1,0,1,0,0,0,0,0,0,3,1,5
2,2,0,1,0,0,0,0,0,0,0,0,1
3,3,0,0,4,1,0,0,0,0,0,0,5
4,4,0,0,4,1,0,0,0,0,0,0,5
5,7,0,1,0,0,0,0,0,0,0,0,1
6,8,0,1,0,0,0,0,0,0,3,1,5
7,9,0,0,0,0,0,0,0,0,2,0,2
8,10,0,0,0,0,0,0,0,0,5,2,7
9,11,0,3,0,0,0,0,0,0,0,2,5
10,13,0,0,0,0,0,0,3,0,1,2,6
11,14,0,0,0,0,0,0,1,0,3,3,7
12,15,0,2,0,4,6,3,0,0,6,0,21
13,16,0,0,0,0,0,0,0,0,1,1,2
14,17,0,1,0,0,1,0,0,0,2,0,4
15,18,0,1,0,0,0,0,0,1,1,0,3
16,19,0,1,0,0,0,0,0,0,0,0,1
17,20,0,1,0,0,0,0,0,0,0,1,2
18,21,0,1,0,0,1,0,0,1,0,1,4
19,22,0,2,0,0,1,0,0,1,0,1,5
20,23,0,1,0,0,0,0,0,0,1,0,2
21,24,0,1,0,0,0,0,0,0,1,0,2
22,25,0,2,0,0,0,0,0,0,1,2,5
23,26,0,0,0,0,0,0,0,0,1,0,1
24,27,0,0,0,0,0,0,0,0,2,0,2
25,28,0,0,0,0,0,0,0,1,3,0,4
26,29,0,0,0,0,0,0,0,1,3,0,4
27,30,0,0,0,0,0,0,0,0,4,0,4
28,31,0,0,0,0,0,0,0,0,2,0,2
29,32,0,0,0,0,0,0,0,0,1,0,1
30,33,0,0,0,0,0,0,0,2,0,4,6
31,34,0,5,0,3,1,0,0,0,28,2,39
32,35,0,2,0,1,0,0,1,0,11,0,15
33,36,0,1,0,0,1,0,1,0,1,2,6
34,37,0,1,0,0,0,0,0,0,2,0,3
35,38,0,0,2,0,0,0,0,0,4,0,6
36,39,0,0,0,0,0,0,0,0,4,0,4
37,40,0,0,0,0,0,0,0,0,1,0,1
38,41,0,0,0,0,0,0,0,0,1,0,1
39,42,0,0,0,0,0,0,0,0,2,0,2
40,43,0,0,0,0,0,0,1,2,1,0,4
41,44,0,0,0,0,0,1,1,2,1,0,5
42,45,0,0,0,0,0,0,1,1,1,0,3
43,46,0,0,0,0,0,0,0,0,1,0,1
44,47,0,0,0,0,0,0,1,0,1,1,3
45,48,0,0,0,0,0,0,0,0,1,1,2
46,49,0,0,0,0,0,0,0,0,1,1,2
47,50,0,1,0,0,3,1,0,0,1,0,6
48,52,0,5,0,2,0,0,0,0,12,0,19
49,53,0,6,0,2,0,0,0,0,28,0,36
