index_seg,d_btw_cntr_SgAsEg,ud_bridge_SgAsEg,ud_btw_cntr_SgAsEg
0,23266.3028025,0.0,68349.8653493
1,472852.142255,0.0,596092.666066
2,462417.34619,0.0,565476.1634
3,550690.118503,0.0,588038.244394
4,419610.395348,0.0,426370.309088
5,279433.608926,0.0,265947.467811
6,91551.1938118,0.0,131789.683317
7,83143.2344143,0.0,161412.66658
8,55417.5250934,0.0,46950.3888973
9,17930.4144694,0.0,18014.1883876
10,8464.0,0.0,15404.2866218
11,3383.09204115,0.0,10708.2406613
12,162777.95248,0.0,122885.567405
13,16934.0,1.0,17016.0
14,16934.0,0.0,18623.7133782
15,21776.9771755,0.0,38292.0873799
16,22124.5232426,0.0,12746.8279891
17,26716.9602657,0.0,14095.6953047
18,48194.1215437,0.0,33257.7208545
19,37253.4242391,0.0,27808.0300535
20,118966.389802,0.0,8744.67632537
21,172178.567255,0.0,174176.004061
22,325778.491467,0.0,333290.140535
23,309966.141435,0.0,277163.974909
24,48292.7497148,0.0,46265.6504977
25,16914.7016765,0.0,17347.5389785
26,88256.6043332,0.0,102919.67156
27,3188.83121465,0.0,3090.75287136
28,3296.81229228,0.0,5652.55912853
29,25929.103746,0.0,14523.5611264
30,44838.2156588,0.0,45135.3906855
31,3911.68489284,0.0,7413.94513538
32,11007.6167074,0.0,10846.0727615
33,9931.16103597,0.0,9751.60021962
34,570417.104603,0.0,238463.889067
35,198864.090497,0.0,84645.8959853
36,29626.1098718,0.0,24670.4296492
37,36573.4239973,0.0,20362.0046754
38,68327.0876846,0.0,32699.2498976
39,40828.4740918,0.0,32243.4505373
40,29074.2141903,0.0,20592.6734209
41,27344.3015126,0.0,33732.7519326
42,17680.4653606,0.0,14622.8123209
43,5099.33327124,0.0,4637.53898259
44,24873.7258593,0.0,26304.9615794
45,4307.16025577,0.0,3587.48092412
46,35011.7119523,0.0,19654.5929051
47,27134.8330949,0.0,21867.1950011
48,11675.5827098,0.0,12386.0554934
49,21788.1562494,0.0,21471.8071344
50,76382.570729,0.0,47317.4103595
51,42733.3281509,0.0,77008.2868842
52,201533.669158,0.0,92165.3080383
53,398100.68445,0.0,271647.930067
54,81964.2847714,0.0,44381.7707449
55,60821.4608708,0.0,18556.8860218
56,60663.3499721,0.0,32627.9284082
57,66064.2755034,0.0,32599.2866482
58,104235.922954,0.0,44694.9815738
59,38694.8932489,0.0,32948.8164266
60,23679.8843372,0.0,10543.3647852
61,25398.0,1.0,34028.0
62,26578.7379334,0.0,33637.456921
63,316203.617027,0.0,1024581.47446
64,307828.852545,0.0,876892.986493
65,61026.664156,0.0,21362.9258553
66,93007.1085421,0.0,683981.743396
67,105511.324772,0.0,681220.427887
68,289912.986474,0.0,992962.763547
69,322923.988331,0.0,1295784.80123
70,324758.399915,0.0,1893083.19945
71,292013.704013,0.0,1875838.64126
72,263117.607173,0.0,1890557.83802
73,180901.11381,0.0,975333.839539
74,108051.801641,0.0,86990.2882154
75,75134.8845674,0.0,54565.1846628
76,52423.3047049,0.0,19340.4020516
77,47375.776896,0.0,55448.3393442
78,50556.9187332,0.0,65750.0907971
79,91958.0626119,0.0,79705.8418073
80,162667.697067,0.0,132190.244635
81,1838289.7796,0.0,1677300.42702
82,3555208.31139,0.0,3251179.23768
83,5778972.53684,0.0,5281349.9374
84,7463147.31941,0.0,6831510.71737
85,347659.838432,0.0,405257.035146
86,8623.77817363,0.0,18849.8602723
87,94075.6640229,0.0,64403.8614282
88,6808.22694075,0.0,6449.51666084
89,4798.14249198,0.0,9750.41689321
90,10673.9177342,0.0,4911.35824466
91,36102.0534727,0.0,27246.2427234
92,25786.5693461,0.0,25616.8285519
93,23841.8057023,0.0,28934.3225973
94,12705.5348099,0.0,13367.7200653
95,508678.989602,0.0,143035.806733
96,187637.882847,0.0,104855.567921
97,17301.6795959,0.0,14196.9864106
98,36298.8585217,0.0,14697.3436019
99,49107.8060988,0.0,22399.5652253
100,46648.324272,0.0,47674.0078813
101,92967.1806846,0.0,81016.846854
102,63434.089737,0.0,134681.511159
103,48144.0343711,0.0,176309.440181
104,66380.5783422,0.0,1118056.84047
105,31343.0602152,0.0,53866.1565552
106,48643.2820547,0.0,78154.3962889
107,203759.113369,0.0,424796.670831
108,128332.809596,0.0,269637.125876
109,112976.773434,0.0,202249.547453
110,101869.441187,0.0,210198.322444
111,46277.8730602,0.0,86901.3948767
112,28219.5253368,0.0,49451.4542976
113,23377.7780419,0.0,32434.4952939
114,13813.3952464,0.0,21568.1138874
115,15438.8533703,0.0,18780.4439582
116,14856.4269983,0.0,15452.0061253
117,18465.7884985,0.0,17884.5593976
118,32620.658125,0.0,25830.0749746
119,40309.8817744,0.0,38320.596935
120,24165.5683055,0.0,13046.9869114
121,49350.4962597,0.0,60794.3757925
122,75106.8449326,0.0,67862.8326142
123,16096.6836967,0.0,15912.843567
124,32022.7462987,0.0,33202.5496844
125,33925.1879737,0.0,32993.4879997
126,34233.4493009,0.0,31152.2572397
127,35400.5590167,0.0,19726.5028393
128,33027.2376545,0.0,20882.9862863
129,19641.6392786,0.0,19999.8161748
130,3615.70509349,0.0,4184.50393305
131,7617.57224602,0.0,15979.5521995
132,27891.7777822,0.0,28522.1095514
133,27784.0623761,0.0,33046.2963183
134,29656.0862621,0.0,5886.61259835
135,18277.0024957,0.0,6726.55897192
136,11641.1852348,0.0,14950.6118443
137,13588.6138948,0.0,37545.173982
138,12311.9642628,0.0,60807.4170854
139,28118.2175046,0.0,90556.150379
140,41688.9356123,0.0,84113.2931667
141,56117.686363,0.0,1169453.58334
142,75769.0127792,0.0,1837880.48074
143,19748.2732361,0.0,110394.948002
144,9723.92107895,0.0,74433.4513933
145,1820.57574994,0.0,18566.0523558
146,13876.5309741,0.0,1341576.32758
147,320670.62469,0.0,1648716.14461
148,336346.223866,0.0,887401.357089
149,74208.1547076,0.0,211693.901425
150,67012.936439,0.0,201932.132018
151,108568.700858,0.0,111812.546555
152,85904.271443,0.0,99566.653287
153,70549.8460812,0.0,82801.6992505
154,73782.1082616,0.0,81185.995402
155,87169.4431549,0.0,93030.6546437
156,110906.387709,0.0,104913.491329
157,131570.823111,0.0,127133.168262
158,108277.382678,0.0,105268.661591
159,92846.8794432,0.0,89681.3331436
160,97040.508168,0.0,118431.725895
161,7532.5322752,0.0,10799.1181156
162,1679.25454881,0.0,2449.53356286
163,4960.49690629,0.0,12324.4186134
164,12693.713241,0.0,45515.2878271
165,35610.4574068,0.0,99988.5799273
166,57687.8538423,0.0,92166.8748468
167,16082.5096096,0.0,50142.6793257
168,76918.0704109,0.0,185533.825597
169,106915.372253,0.0,268366.637614
170,74204.8927596,0.0,180473.381689
171,61112.2431983,0.0,139690.357928
172,42220.6473115,0.0,93255.0455271
173,32405.6789308,0.0,65566.0090746
174,26944.328628,0.0,49228.419801
175,30862.1894913,0.0,48911.255908
176,10610.6496747,0.0,63905.1746261
177,4617.31070099,0.0,3589.23125307
178,8705.69097251,0.0,8417.69289851
179,734372.680383,0.0,84556.1099403
180,727019.66694,0.0,346949.075359
181,506377.061196,0.0,129236.337428
182,644409.000623,0.0,147144.370421
183,1194504.73827,0.0,265418.256493
184,630710.528002,0.0,122313.790737
185,190679.364752,0.0,28006.0680153
186,171195.128954,0.0,22546.6625601
187,169644.170394,0.0,37804.0354012
188,68102.0536174,0.0,82017.0071845
189,43293.4374257,0.0,46207.9571304
190,4242.84922995,0.0,4713160.37475
191,30839.0614524,0.0,5013041.9877
192,6076.72974756,0.0,1217340.63857
193,102571.351015,0.0,1263209.81868
