index_seg,d_auth_score_SgAsNd,d_btw_cntr_SgAsNd,d_clo_cntr_SgAsNd,d_far_cntr_SgAsNd,d_hub_score_SgAsNd,d_in_deg_SgAsNd,d_node_ecc_SgAsNd,d_out_deg_SgAsNd,d_page_rank_SgAsNd,ud_art_pt_SgAsNd,ud_auth_score_SgAsNd,ud_bridge_SgAsNd,ud_btw_cntr_SgAsNd,ud_clo_cntr_SgAsNd,ud_deg_cntr_SgAsNd,ud_eig_cntr_SgAsNd,ud_far_cntr_SgAsNd,ud_hub_score_SgAsNd,ud_node_ecc_SgAsNd,ud_page_rank_SgAsNd
0,0.0002142874722,30444.5353727,0.0239015229254,41.8383382148,0.000135306830093,0.000147961825849,86.0,0.000147961825849,3.22657527236e-05,,2.20139873166e-06,,91429.5521457,0.0259739017284,0.000295923651698,5.64404725565e-08,38.5001841639,1.72086983537e-06,81.0,6.10061822346e-05
1,0.000184279404946,646907.524953,0.0244665521963,40.8721258302,0.000576111253173,0.000221942738773,86.0,0.000295923651698,6.07530392503e-05,,9.05578189532e-06,,788269.960376,0.0261162665624,0.000517866390471,2.25779423047e-07,38.2903121934,7.05851103591e-06,82.0,8.37335910984e-05
2,7.69972423244e-05,630073.431268,0.0241850972481,41.34777668,0.000163890597498,0.000295923651698,87.0,0.000221942738773,5.66879699728e-05,,6.87422270759e-06,,744637.419789,0.0259396979223,0.000517866390471,1.66525211546e-07,38.5509500919,5.34166807232e-06,83.0,8.40078383344e-05
3,9.16081213776e-05,732245.872742,0.0239975239683,41.6709657763,7.84997384852e-05,0.000443885477547,88.0,0.000443885477547,7.34353644083e-05,,4.31211169538e-06,,767581.796941,0.0255679619913,0.000517866390471,1.01037145068e-07,39.1114473785,3.338936928e-06,84.0,8.66891429463e-05
4,4.53850897649e-05,550757.959112,0.0237444216477,42.1151550809,4.05795399497e-05,0.000369904564622,89.0,0.000443885477547,6.29287602461e-05,,1.48968104011e-06,,554499.063835,0.0249881194946,0.000443885477547,3.30166158914e-08,40.0190178463,1.14641430675e-06,85.0,7.89816410609e-05
5,1.58062453767e-05,362264.464432,0.0232441107209,43.0216501722,1.45681490958e-05,0.000369904564622,90.0,0.000369904564622,7.66781577408e-05,,5.36947483119e-07,,340880.003857,0.0244409762932,0.000443885477547,1.06159383749e-08,40.9148958701,4.08003505397e-07,86.0,8.0898852141e-05
6,5.77542970501e-06,109469.271175,0.0227511657732,43.9537916417,4.08828704804e-06,0.000295923651698,91.0,0.000295923651698,6.84564764605e-05,,2.07239970331e-07,,162671.603477,0.0239494537616,0.000369904564622,3.50011170287e-09,41.7546057607,1.5493509037e-07,87.0,7.1524162919e-05
7,9.10919405269e-07,102834.817821,0.0223280931337,44.7866279495,1.08446502437e-06,0.000147961825849,92.0,0.000221942738773,4.33324531084e-05,,7.48534985264e-08,,205698.79982,0.0236746626907,0.000295923651698,1.00936418507e-09,42.2392501665,5.48549738792e-08,88.0,6.2715319175e-05
8,1.61064016203e-06,63952.7434615,0.0200240351186,49.9399843276,1.24001411316e-06,0.000295923651698,103.0,0.000295923651698,6.20769037073e-05,,7.94665710115e-10,,55939.094402,0.0205153980044,0.000295923651698,2.00642176101e-12,48.7438751998,5.25420845152e-10,99.0,6.65456817131e-05
9,1.48563590733e-06,15295.8990238,0.0198762366625,50.3113349362,1.1517417344e-06,0.000369904564622,104.0,0.000369904564622,7.97195026997e-05,,7.31027545985e-10,,15196.1296218,0.0203603176407,0.000369904564622,1.98269223366e-12,49.1151473001,4.86952856137e-10,100.0,8.18924087555e-05
