,index_seg,SHAPE_Length,DIRECTIONALITY_Bi-direction,DIRECTIONALITY_one-way,STREETTYPE_AVE,STREETTYPE_BLVD,STREETTYPE_CIR,STREETTYPE_CRES,STREETTYPE_CT,STREETTYPE_DR,STREETTYPE_LN,STREETTYPE_OTHER,STREETTYPE_PKWY,STREETTYPE_PL,STREETTYPE_RD,STREETTYPE_ST,STREETTYPE_TER,STREETTYPE_WAY,SEGMENTTYPE_1,SEGMENTTYPE_2,SEGMENTTYPE_3
0,0,192.925131499,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,131.935677397,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,2,117.887011052,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,3,108.331118155,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,4,119.19031228,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5,5,119.101172504,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6,6,78.8780746483,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7,7,79.4106939836,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
8,8,95.5910870279,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9,9,157.511598503,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,10,124.980588725,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,11,121.299096541,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12,12,119.131390972,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13,13,68.2300265471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14,14,124.618209892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
15,15,148.683738555,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
16,16,126.698028066,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17,17,116.308825209,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18,18,129.600851913,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
19,19,119.102319185,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20,20,79.3564263488,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
21,21,34.1217806871,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
22,22,119.560474432,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
23,23,81.5586351647,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
24,24,37.4141281987,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25,25,153.460480401,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
26,26,118.470151481,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27,27,65.6500046738,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
28,28,65.8901442591,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29,29,131.100302231,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30,30,128.328950275,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,31,132.900423447,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32,32,88.6101350421,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33,33,152.766180796,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,34,101.661802227,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35,35,205.857560412,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36,36,46.0420434491,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,37,82.4391375787,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
38,38,100.793367503,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39,39,64.6842217154,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,40,35.3899112176,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
41,41,43.8329082982,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42,42,79.7794560512,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43,43,71.4678878101,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44,44,52.416646161,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
45,45,61.926530841,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,46,57.0379138834,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
47,47,54.4529494912,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
48,48,63.1186160008,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
49,49,49.0359544137,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
50,50,121.615242911,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51,51,121.782825821,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
52,52,70.7386033032,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53,53,139.694692897,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
54,54,85.6168082189,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
55,55,75.6874770719,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56,56,19.0941902158,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
57,57,119.193177269,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
58,58,148.441785992,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
59,59,134.733844151,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60,60,55.878412335,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
61,61,136.557501391,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
62,62,132.911559279,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
63,63,106.276625564,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
64,64,69.2561921783,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
65,65,107.286618088,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
66,66,148.121263176,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
67,67,118.83100126,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
68,68,82.1508145737,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
69,69,82.2000066821,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70,70,110.581585257,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
71,71,54.2402387763,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
72,72,82.02037743,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
73,73,82.2504792793,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74,74,82.3113993036,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
75,75,77.8700697933,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
76,76,21.9213785961,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
77,77,61.9390586075,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
78,78,79.5305473775,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
79,79,123.23016972,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
80,80,118.480400163,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
81,81,117.130006675,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
82,82,119.220116805,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
83,83,118.580335737,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
84,84,433.761018561,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
85,85,422.001303855,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
86,86,138.539918349,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
87,87,149.995961549,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
88,88,73.7456387077,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
89,89,118.651572237,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
90,90,27.8180898351,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
91,91,78.4501982689,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
92,92,40.7101029825,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
93,93,158.561145347,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
94,94,127.73056987,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
95,95,99.0058278287,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
96,96,168.009104101,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
97,97,153.743403692,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
98,98,134.293207835,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
99,99,109.719971884,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
100,100,161.940535763,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
101,101,43.0669851338,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
102,102,127.60959254,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
103,103,132.602780804,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
104,104,135.010475105,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
105,105,117.941843521,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
106,106,117.534338183,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
107,107,131.597211969,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
108,108,118.610531365,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
109,109,118.573496512,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
110,110,128.339748144,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
111,111,84.7046464908,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
112,112,40.5602819925,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
113,113,79.0102927915,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
114,114,79.6710033976,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
115,115,127.76191812,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
