index,name
0,ST
1,ST
2,ST
3,ST
4,ST
5,ST
6,ST
7,ST
8,ST
9,ST
10,PL
11,PL
12,PL
13,TER
14,TER
15,ST
16,ST
17,ST
18,ST
19,ST
20,ST
21,ST
22,ST
23,ST
24,ST
25,ST
26,ST
27,ST
28,ST
29,ST
30,ST
31,ST
32,ST
33,ST
34,ST
35,ST
36,ST
37,ST
38,ST
39,ST
40,ST
41,ST
42,ST
43,ST
44,ST
45,ST
46,ST
47,ST
48,ST
49,ST
50,ST
51,ST
52,ST
53,ST
54,ST
55,ST
56,ST
57,ST
58,ST
59,ST
60,ST
61,ST
62,ST
63,ST
64,ST
65,ST
66,ST
67,ST
68,ST
69,ST
70,ST
71,ST
72,ST
73,ST
74,ST
75,ST
76,ST
77,ST
78,ST
79,ST
80,ST
81,ST
82,ST
83,ST
84,ST
85,ST
86,ST
87,ST
88,ST
89,PL
90,PL
91,PL
92,PL
93,PL
94,PL
95,ST
96,ST
97,ST
98,ST
99,ST
100,ST
101,ST
102,ST
103,ST
104,ST
105,ST
106,ST
107,ST
108,ST
109,ST
110,ST
111,ST
112,ST
113,ST
114,ST
115,ST
116,ST
117,ST
118,ST
119,ST
120,ST
121,ST
122,ST
123,ST
124,ST
125,ST
126,ST
127,ST
128,ST
129,ST
130,ST
131,ST
132,ST
133,ST
134,ST
135,ST
136,ST
137,ST
138,ST
139,ST
140,ST
141,ST
142,ST
143,ST
144,ST
145,ST
146,ST
147,ST
148,ST
149,ST
150,ST
151,ST
152,ST
153,ST
154,ST
155,ST
156,ST
157,ST
158,ST
159,ST
160,ST
161,ST
162,ST
163,ST
164,ST
165,ST
166,ST
167,ST
168,ST
169,ST
170,ST
171,ST
172,ST
173,ST
174,ST
175,ST
176,PL
177,PL
178,PL
179,ST
180,ST
181,ST
182,ST
183,ST
184,ST
185,ST
186,ST
187,ST
188,ST
189,ST
190,ST
191,ST
192,ST
193,ST
194,ST
195,ST
196,ST
197,ST
198,ST
199,ST
200,ST
201,ST
202,ST
203,ST
204,ST
205,ST
206,ST
207,ST
208,ST
209,ST
210,ST
211,ST
212,ST
213,ST
214,ST
215,ST
216,ST
217,ST
218,ST
219,ST
220,ST
221,ST
222,ST
223,ST
224,ST
225,ST
226,ST
