index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,crime_total_neighbor
0,3.0,4.0,46.0,0.0,2.0,121.0,1.0,16.0,3.0,32.0,0.42857142857142855,95.28571428571428
1,5.0,6.0,60.0,0.0,1.0,71.0,1.0,298.0,2.875,52.875,0.375,82.25
2,1.0,10.0,51.0,2.0,1.0,138.0,1.0,310.0,2.4,38.7,0.9,106.2
3,5.0,11.0,34.0,2.0,0.0,147.0,2.0,270.0,5.75,37.75,1.375,143.625
4,5.0,4.0,27.0,0.0,0.0,138.0,14.0,97.0,4.625,35.0,0.625,136.375
5,0.0,7.719370860927152,41.0,2.0,0.0,139.0,160.36049058256683,25.0,1.0,31.33333333333333,1.3333333333333333,97.77777777777777
6,0.0,1.0,24.0,2.0,0.0,50.0,160.36049058256683,5.0,1.1111111111111112,30.222222222222214,1.3333333333333333,65.8888888888889
7,1.0,7.719370860927152,18.0,0.0,0.0,38.0,160.36049058256683,603.3206537460227,1.6666666666666667,28.0,0.6666666666666666,44.33333333333334
8,5.0,7.719370860927152,13.0,0.0,0.0,34.0,160.36049058256683,16.0,3.4,14.6,0.0,39.2
9,2.0,7.719370860927152,14.0,0.0,0.0,56.0,160.36049058256683,2.0,2.5555555555555562,11.444444444444445,0.0,45.111111111111114
10,7.0,5.0,54.0,44.0,1.0,147.0,33.670360110803315,9.0,10.142857142857142,48.57142857142857,29.0,148.42857142857142
11,5.0,13.0,33.0,1.0,0.0,111.0,3.0,177.0,4.153846153846153,28.92307692307693,0.7692307692307693,96.84615384615385
12,0.0,3.9464831804281344,28.0,0.0,0.0,117.0,33.670360110803315,224.0,2.0,26.66666666666667,0.4,87.06666666666666
13,6.0,1.0,24.0,7.0,0.0,145.0,4.1951219512195115,61.0,11.0,115.75,75.75,165.5
14,7.0,3.4545454545454546,18.0,0.0,1.0,158.0,1.0,133.65384615384616,9.25,48.875,22.0,149.125
15,21.0,2.0,153.0,138.0,0.0,15.0,2.0,2479.0,22.9,148.9,132.4,132.9
16,2.0,1.0,27.0,1.0,1.0,116.0,4.0,189.0,2.875,36.25,0.625,102.75
17,4.0,2.0,40.0,1.0,0.0,79.0,2.0,104.0,3.5555555555555562,46.66666666666666,0.2222222222222222,90.88888888888887
18,3.0,1.0,39.0,0.0,0.0,69.0,160.36049058256683,89.0,4.166666666666667,55.33333333333334,0.3333333333333333,88.83333333333331
19,1.0,3.0,37.0,1.0,0.0,119.0,160.36049058256683,110.0,3.4285714285714284,47.57142857142857,1.0,114.42857142857143
20,2.0,3.0,62.0,1.0,0.0,112.0,160.36049058256683,2.0,6.0,36.72727272727273,0.6363636363636364,118.36363636363636
21,4.0,5.0,40.0,0.0,1.0,103.0,160.36049058256683,65.0,5.769230769230767,34.153846153846146,0.6153846153846154,117.46153846153848
22,5.0,5.0,27.0,0.0,1.0,122.0,160.36049058256683,56.0,4.8,28.93333333333333,0.13333333333333333,105.13333333333334
23,2.0,7.719370860927152,22.0,0.0,1.0,114.0,160.36049058256683,27.0,2.357142857142857,19.785714285714285,0.21428571428571427,82.57142857142857
24,2.0,7.719370860927152,7.0,0.0,1.0,45.0,160.36049058256683,603.3206537460227,1.7692307692307692,22.07692307692308,0.3076923076923077,75.84615384615384
25,5.0,1.0,12.0,0.0,0.0,25.0,3.0,97.0,2.8,15.2,0.0,34.8
26,1.0,2.0,14.0,0.0,1.0,42.0,160.36049058256683,403.0,2.888888888888889,18.88888888888889,0.0,39.22222222222222
27,2.0,2.0,13.0,0.0,1.0,29.0,160.36049058256683,603.3206537460227,3.0,16.77777777777778,0.0,39.66666666666666
28,4.0,1.0,12.0,0.0,1.0,32.0,160.36049058256683,361.0,3.8,21.0,0.0,40.1
29,4.0,1.0,13.0,0.0,0.0,45.0,160.36049058256683,136.0,5.2,24.7,0.0,43.2
30,4.0,7.719370860927152,48.0,0.0,0.0,33.0,160.36049058256683,1.0,5.5,22.83333333333333,0.0,42.0
31,2.0,7.719370860927152,13.0,0.0,0.0,45.0,160.36049058256683,53.0,3.4444444444444446,11.444444444444445,0.0,46.444444444444436
32,1.0,7.719370860927152,15.0,0.0,0.0,54.0,160.36049058256683,9.0,2.0,11.222222222222221,0.3333333333333333,55.444444444444436
33,6.0,7.719370860927152,22.0,3.0,0.0,88.0,160.36049058256683,6.0,3.125,39.25,30.25,60.0
34,39.0,52.0,33.0,13.0,1.0,51.0,160.36049058256683,455.0,30.375,76.375,49.375,164.75
35,15.0,38.0,149.0,141.0,2.0,156.0,48.0,286.0,16.125,59.375,40.375,152.875
