index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,crime_total_neighbor
0,3.0,4.0,46.0,0.0,2.0,121.0,1.0,16.0,95.28571428571428
1,5.0,6.0,60.0,0.0,1.0,71.0,1.0,298.0,82.25
2,1.0,10.0,51.0,2.0,1.0,138.0,1.0,310.0,106.2
3,5.0,11.0,34.0,2.0,0.0,147.0,2.0,270.0,143.625
4,5.0,4.0,27.0,0.0,0.0,138.0,14.0,97.0,136.375
5,0.0,7.719370860927152,41.0,2.0,0.0,139.0,160.36049058256683,25.0,97.77777777777777
6,0.0,1.0,24.0,2.0,0.0,50.0,160.36049058256683,5.0,65.8888888888889
7,1.0,7.719370860927152,18.0,0.0,0.0,38.0,160.36049058256683,603.3206537460227,44.33333333333334
8,5.0,7.719370860927152,13.0,0.0,0.0,34.0,160.36049058256683,16.0,39.2
9,2.0,7.719370860927152,14.0,0.0,0.0,56.0,160.36049058256683,2.0,45.111111111111114
10,7.0,5.0,54.0,44.0,1.0,147.0,33.670360110803315,9.0,148.42857142857142
11,5.0,13.0,33.0,1.0,0.0,111.0,3.0,177.0,96.84615384615385
12,0.0,3.9464831804281344,28.0,0.0,0.0,117.0,33.670360110803315,224.0,87.06666666666666
13,6.0,1.0,24.0,7.0,0.0,145.0,4.1951219512195115,61.0,165.5
14,7.0,3.4545454545454546,18.0,0.0,1.0,158.0,1.0,133.65384615384616,149.125
15,21.0,2.0,153.0,138.0,0.0,15.0,2.0,2479.0,132.9
16,2.0,1.0,27.0,1.0,1.0,116.0,4.0,189.0,102.75
17,4.0,2.0,40.0,1.0,0.0,79.0,2.0,104.0,90.88888888888887
18,3.0,1.0,39.0,0.0,0.0,69.0,160.36049058256683,89.0,88.83333333333331
19,1.0,3.0,37.0,1.0,0.0,119.0,160.36049058256683,110.0,114.42857142857143
20,2.0,3.0,62.0,1.0,0.0,112.0,160.36049058256683,2.0,118.36363636363636
21,4.0,5.0,40.0,0.0,1.0,103.0,160.36049058256683,65.0,117.46153846153848
22,5.0,5.0,27.0,0.0,1.0,122.0,160.36049058256683,56.0,105.13333333333334
