index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total
0,3.0,4.0,46.0,0.0,2.0,121.0,1.0,16.0
1,5.0,6.0,60.0,0.0,1.0,71.0,1.0,298.0
2,1.0,10.0,51.0,2.0,1.0,138.0,1.0,310.0
3,5.0,11.0,34.0,2.0,0.0,147.0,2.0,270.0
4,5.0,4.0,27.0,0.0,0.0,138.0,14.0,97.0
5,0.0,7.719370860927152,41.0,2.0,0.0,139.0,160.36049058256683,25.0
6,0.0,1.0,24.0,2.0,0.0,50.0,160.36049058256683,5.0
7,1.0,7.719370860927152,18.0,0.0,0.0,38.0,160.36049058256683,603.3206537460227
8,5.0,7.719370860927152,13.0,0.0,0.0,34.0,160.36049058256683,16.0
9,2.0,7.719370860927152,14.0,0.0,0.0,56.0,160.36049058256683,2.0
10,7.0,5.0,54.0,44.0,1.0,147.0,33.670360110803315,9.0
11,5.0,13.0,33.0,1.0,0.0,111.0,3.0,177.0
12,0.0,3.9464831804281344,28.0,0.0,0.0,117.0,33.670360110803315,224.0
13,6.0,1.0,24.0,7.0,0.0,145.0,4.1951219512195115,61.0
14,7.0,3.4545454545454546,18.0,0.0,1.0,158.0,1.0,133.65384615384616
15,21.0,2.0,153.0,138.0,0.0,15.0,2.0,2479.0
16,2.0,1.0,27.0,1.0,1.0,116.0,4.0,189.0
17,4.0,2.0,40.0,1.0,0.0,79.0,2.0,104.0
18,3.0,1.0,39.0,0.0,0.0,69.0,160.36049058256683,89.0
19,1.0,3.0,37.0,1.0,0.0,119.0,160.36049058256683,110.0
20,2.0,3.0,62.0,1.0,0.0,112.0,160.36049058256683,2.0
21,4.0,5.0,40.0,0.0,1.0,103.0,160.36049058256683,65.0
22,5.0,5.0,27.0,0.0,1.0,122.0,160.36049058256683,56.0
23,2.0,7.719370860927152,22.0,0.0,1.0,114.0,160.36049058256683,27.0
24,2.0,7.719370860927152,7.0,0.0,1.0,45.0,160.36049058256683,603.3206537460227
25,5.0,1.0,12.0,0.0,0.0,25.0,3.0,97.0
26,1.0,2.0,14.0,0.0,1.0,42.0,160.36049058256683,403.0
27,2.0,2.0,13.0,0.0,1.0,29.0,160.36049058256683,603.3206537460227
28,4.0,1.0,12.0,0.0,1.0,32.0,160.36049058256683,361.0
29,4.0,1.0,13.0,0.0,0.0,45.0,160.36049058256683,136.0
30,4.0,7.719370860927152,48.0,0.0,0.0,33.0,160.36049058256683,1.0
31,2.0,7.719370860927152,13.0,0.0,0.0,45.0,160.36049058256683,53.0
32,1.0,7.719370860927152,15.0,0.0,0.0,54.0,160.36049058256683,9.0
33,6.0,7.719370860927152,22.0,3.0,0.0,88.0,160.36049058256683,6.0
34,39.0,52.0,33.0,13.0,1.0,51.0,160.36049058256683,455.0
35,15.0,38.0,149.0,141.0,2.0,156.0,48.0,286.0
36,6.0,4.0,25.0,0.0,1.0,144.0,4.0,1029.0
37,3.0,2.0,22.0,0.0,0.0,176.0,160.36049058256683,435.0
38,6.0,16.0,48.0,0.0,0.0,184.0,2.0,62.0
39,4.0,11.0,27.0,2.0,2.0,149.0,16.0,794.0
40,1.0,1.0,18.0,2.0,4.0,126.0,160.36049058256683,17.0
41,1.0,2.0,14.0,0.0,3.0,124.0,160.36049058256683,11.0
42,2.0,2.0,31.0,0.0,1.0,147.0,160.36049058256683,460.0
43,4.0,3.0,17.0,0.0,0.0,138.0,1.0,59.0
44,5.0,1.0,9.0,0.0,1.0,143.0,3.0,668.0
45,3.0,6.0,24.0,1.0,1.0,133.0,3.0,54.0
46,1.0,4.0,30.0,1.0,0.0,161.0,2.0,438.0
47,3.0,1.0,22.0,1.0,0.0,145.0,2.0,75.0
48,2.0,1.0,14.0,0.0,0.0,112.0,160.36049058256683,7.0
49,2.0,1.0,10.0,0.0,0.0,83.0,20.0,8.0
50,6.0,1.0,51.0,1.0,0.0,62.0,2.0,290.0
51,0.0,1.0,42.0,0.0,0.0,94.0,1.0,7.0
52,19.0,3.0,0.0,0.0,0.0,1.0,3.0,287.0
53,36.0,3.0,37.0,33.0,0.0,11.0,15.0,552.0
54,31.0,2.0,36.0,33.0,0.0,13.0,22.0,603.3206537460227
55,29.0,1.0,199.0,195.0,0.0,15.0,160.36049058256683,2558.0
56,15.0,1.0,230.0,221.0,0.0,10.0,160.36049058256683,603.3206537460227
57,18.0,6.0,65.0,46.0,0.0,61.0,160.36049058256683,3476.0
58,17.0,23.0,299.0,241.0,0.0,108.0,7.0,4547.0
59,30.0,16.0,757.0,711.0,1.0,165.0,14.0,1756.0
60,23.0,1.0,421.0,397.0,1.0,110.0,1.0,54.0
61,17.0,17.0,187.0,157.0,2.0,416.0,30.0,230.0
62,11.0,19.0,94.0,60.0,3.0,110.0,6.0,698.0
63,9.0,8.0,42.0,10.0,1.0,132.0,8.0,62.0
64,14.0,48.0,98.0,7.0,1.0,186.0,8.0,603.3206537460227
65,18.0,39.0,87.0,0.0,4.0,209.0,1.0,130.0
66,19.0,8.0,31.0,0.0,1.0,231.0,7.0,124.0
67,11.0,14.0,32.0,0.0,2.0,171.0,6.0,241.0
68,3.0,6.0,32.0,0.0,2.0,181.0,2.0,11.0
69,4.0,5.0,40.0,0.0,1.0,179.0,2.0,423.0
70,12.0,20.0,30.0,0.0,1.0,183.0,7.0,4.0
71,11.0,17.0,14.0,0.0,4.0,134.0,160.36049058256683,595.0
