index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,crime_total,moving_total,parking_total
0,3.0,1.0,16.0,0.0,28.0,1.0,11.0
1,5.0,1.0,15.0,0.0,16.0,1.0,93.0
2,1.0,1.0,8.0,1.0,42.0,1.0,122.0
3,5.0,1.0,11.0,1.0,41.0,92.87821782178214,127.0
4,5.0,2.241291147331416,9.0,0.0,36.0,6.0,42.0
5,0.0,2.241291147331416,9.0,0.0,40.0,92.87821782178214,13.0
6,0.0,2.241291147331416,1.0,0.0,9.0,92.87821782178214,2.0
7,1.0,2.241291147331416,8.0,0.0,7.0,92.87821782178214,280.31601801222257
8,5.0,2.241291147331416,5.0,0.0,10.0,92.87821782178214,3.0
9,2.0,2.241291147331416,7.0,0.0,13.0,92.87821782178214,280.31601801222257
10,7.0,1.6666666666666667,7.0,5.0,56.0,37.07777777777777,6.0
11,5.0,5.0,3.0,0.0,21.0,1.0,47.0
12,0.0,1.6666666666666667,4.0,0.0,37.0,37.07777777777777,65.0
13,6.0,1.0,1.0,0.0,55.0,2.1333333333333333,3.0
14,7.0,1.3478260869565215,3.0,0.0,47.0,2.1333333333333333,69.35714285714286
15,21.0,2.241291147331416,8.0,2.0,7.0,92.87821782178214,862.0
16,2.0,2.241291147331416,8.0,1.0,26.0,3.0,57.0
17,4.0,2.241291147331416,16.0,0.0,18.0,92.87821782178214,58.0
18,3.0,2.241291147331416,20.0,0.0,11.0,92.87821782178214,20.0
19,1.0,2.241291147331416,11.0,0.0,39.0,92.87821782178214,32.0
20,2.0,2.241291147331416,12.0,0.0,39.0,92.87821782178214,280.31601801222257
21,4.0,2.241291147331416,8.0,0.0,36.0,92.87821782178214,28.0
22,5.0,1.0,15.0,0.0,39.0,92.87821782178214,19.0
23,2.0,2.241291147331416,5.0,0.0,38.0,92.87821782178214,6.0
24,2.0,2.241291147331416,0.0,0.0,8.0,92.87821782178214,280.31601801222257
25,5.0,2.241291147331416,2.0,0.0,5.0,1.0,26.0
26,1.0,2.241291147331416,8.0,0.0,10.0,92.87821782178214,192.0
27,2.0,2.241291147331416,1.0,0.0,6.0,92.87821782178214,280.31601801222257
28,4.0,2.241291147331416,0.0,0.0,8.0,92.87821782178214,126.0
29,4.0,2.241291147331416,2.0,0.0,12.0,92.87821782178214,33.0
30,4.0,2.241291147331416,11.0,0.0,8.0,92.87821782178214,280.31601801222257
31,2.0,2.241291147331416,4.0,0.0,10.0,92.87821782178214,28.0
32,1.0,2.241291147331416,3.0,0.0,9.0,92.87821782178214,4.0
33,6.0,2.241291147331416,5.0,0.0,18.0,92.87821782178214,5.0
34,39.0,1.0,2.0,0.0,18.0,92.87821782178214,162.0
35,15.0,3.0,0.0,0.0,46.0,28.0,135.0
36,6.0,2.241291147331416,3.0,0.0,49.0,2.0,563.0
37,3.0,2.241291147331416,5.0,0.0,62.0,92.87821782178214,139.0
38,6.0,5.0,12.0,0.0,61.0,2.0,13.0
39,4.0,2.0,4.0,0.0,53.0,4.0,358.0
40,1.0,2.241291147331416,6.0,0.0,43.0,92.87821782178214,6.0
41,1.0,2.241291147331416,4.0,0.0,45.0,92.87821782178214,5.0
42,2.0,2.241291147331416,14.0,0.0,56.0,92.87821782178214,164.0
43,4.0,3.0,7.0,0.0,47.0,1.0,18.0
44,5.0,1.0,1.0,0.0,41.0,1.0,313.0
45,3.0,2.241291147331416,4.0,0.0,34.0,2.0,18.0
46,1.0,2.241291147331416,9.0,0.0,45.0,1.0,165.0
47,3.0,1.0,10.0,1.0,43.0,1.0,16.0
48,2.0,1.0,4.0,0.0,35.0,92.87821782178214,4.0
49,2.0,2.241291147331416,2.0,0.0,22.0,16.0,3.0
50,6.0,1.0,13.0,0.0,14.0,1.0,124.0
51,0.0,2.241291147331416,14.0,0.0,24.0,92.87821782178214,2.0
52,19.0,2.0,0.0,0.0,0.0,92.87821782178214,114.0
53,36.0,2.0,1.0,0.0,5.0,7.0,235.0
54,31.0,1.0,0.0,0.0,6.0,8.0,280.31601801222257
55,29.0,2.241291147331416,0.0,0.0,6.0,92.87821782178214,996.0
56,15.0,2.241291147331416,6.0,2.0,6.0,92.87821782178214,280.31601801222257
57,18.0,1.0,11.0,3.0,21.0,92.87821782178214,1670.0
58,17.0,5.0,21.0,3.0,38.0,3.0,2014.0
59,30.0,2.0,18.0,4.0,52.0,8.0,599.0
60,23.0,2.241291147331416,8.0,3.0,35.0,1.0,27.0
61,17.0,1.0,15.0,6.0,151.0,6.0,125.0
62,11.0,2.0,26.0,8.0,30.0,2.0,326.0
63,9.0,2.241291147331416,18.0,5.0,32.0,5.0,25.0
64,14.0,7.0,24.0,5.0,56.0,2.0,280.31601801222257
65,18.0,8.0,20.0,0.0,62.0,1.0,36.0
66,19.0,1.0,8.0,0.0,86.0,6.0,52.0
67,11.0,1.0,13.0,0.0,59.0,1.0,110.0
68,3.0,2.0,12.0,0.0,66.0,92.87821782178214,7.0
69,4.0,1.0,13.0,0.0,76.0,1.0,162.0
70,12.0,3.0,11.0,0.0,79.0,3.0,1.0
71,11.0,2.0,4.0,0.0,58.0,92.87821782178214,217.0
72,7.0,1.0,3.0,0.0,81.0,5.0,21.0
73,3.0,2.241291147331416,3.0,0.0,62.0,1.0,274.0
74,6.0,1.0,3.0,0.0,67.0,23.0,6.0
75,30.0,2.241291147331416,10.0,0.0,67.0,92.87821782178214,91.0
76,27.0,1.0,14.0,0.0,57.0,3.0,280.31601801222257
77,22.0,4.0,13.0,0.0,66.0,92.87821782178214,280.31601801222257
78,9.0,2.241291147331416,12.0,0.0,55.0,92.87821782178214,65.0
79,10.0,2.241291147331416,42.0,0.0,49.0,92.87821782178214,88.0
80,13.0,2.241291147331416,13.0,0.0,62.0,92.87821782178214,124.0
81,13.0,1.0,17.0,0.0,53.0,92.87821782178214,56.0
82,14.0,2.241291147331416,19.0,0.0,46.0,92.87821782178214,158.0
83,10.0,2.241291147331416,15.0,0.0,28.0,92.87821782178214,4.0
84,13.0,2.0,20.0,1.0,7.0,92.87821782178214,2.0
85,16.0,2.0,8.0,0.0,0.0,8.0,280.31601801222257
86,1.0,1.0,9.0,0.0,20.0,92.87821782178214,112.0
87,9.0,2.241291147331416,12.0,0.0,14.0,92.87821782178214,9.0
88,7.0,2.241291147331416,9.0,0.0,9.0,1.0,280.31601801222257
89,0.0,1.0,7.0,0.0,21.0,37.07777777777777,48.0
90,1.0,1.6666666666666667,0.0,0.0,11.0,37.07777777777777,2.0
91,3.0,1.6666666666666667,0.0,0.0,12.0,37.07777777777777,130.35414012738855
92,2.0,1.6666666666666667,0.0,0.0,9.0,37.07777777777777,24.0
93,2.0,1.6666666666666667,9.0,0.0,12.0,1.0,9.0
94,0.0,1.6666666666666667,7.0,0.0,14.0,37.07777777777777,5.0
95,25.0,2.241291147331416,5.0,1.0,0.0,92.87821782178214,2393.0
96,54.0,1.0,13.0,8.0,1.0,2.0,173.0
97,50.0,1.0,24.0,11.0,23.0,2.0,1030.0
98,24.0,2.0,12.0,8.0,21.0,8.0,89.0
99,15.0,2.0,10.0,6.0,25.0,3.0,1401.0
100,25.0,3.0,33.0,21.0,159.0,2.0,704.0
101,20.0,2.0,11.0,6.0,176.0,2.0,280.31601801222257
102,30.0,1.0,2.0,1.0,245.0,92.87821782178214,1435.0
103,20.0,2.241291147331416,6.0,3.0,291.0,2.0,1741.0
104,15.0,1.0,11.0,2.0,247.0,5.0,490.0
105,1.0,2.241291147331416,12.0,0.0,23.0,2.0,12.0
106,5.0,2.241291147331416,22.0,0.0,25.0,92.87821782178214,26.0
107,4.0,2.241291147331416,23.0,0.0,27.0,92.87821782178214,59.0
108,1.0,2.241291147331416,16.0,1.0,21.0,92.87821782178214,72.0
109,6.0,2.241291147331416,13.0,1.0,19.0,92.87821782178214,11.0
110,8.0,2.0,14.0,0.0,21.0,1.0,55.0
111,5.0,3.0,3.0,0.0,14.0,92.87821782178214,280.31601801222257
112,3.0,2.241291147331416,2.0,0.0,10.0,92.87821782178214,11.0
113,3.0,2.241291147331416,3.0,0.0,15.0,92.87821782178214,4.0
114,1.0,2.241291147331416,4.0,0.0,12.0,92.87821782178214,18.0
115,1.0,2.241291147331416,12.0,0.0,17.0,92.87821782178214,27.0
116,1.0,2.241291147331416,8.0,0.0,15.0,92.87821782178214,10.0
117,1.0,2.241291147331416,3.0,0.0,15.0,92.87821782178214,10.0
118,1.0,2.241291147331416,1.0,0.0,10.0,1.0,16.0
119,2.0,2.241291147331416,5.0,0.0,12.0,92.87821782178214,6.0
120,4.0,2.241291147331416,7.0,0.0,11.0,92.87821782178214,280.31601801222257
121,7.0,2.241291147331416,2.0,0.0,44.0,92.87821782178214,37.0
122,6.0,1.0,2.0,1.0,25.0,92.87821782178214,222.0
123,13.0,2.241291147331416,4.0,3.0,34.0,4.0,358.0
124,35.0,2.241291147331416,11.0,4.0,34.0,3.0,37.0
125,26.0,2.241291147331416,6.0,0.0,29.0,92.87821782178214,12.0
126,40.0,4.0,25.0,13.0,26.0,92.87821782178214,3417.0
127,39.0,3.0,26.0,10.0,26.0,8.0,1623.0
128,39.0,2.241291147331416,26.0,8.0,40.0,5.0,2310.0
129,43.0,4.0,17.0,8.0,217.0,4.0,211.0
130,35.0,2.0,4.0,0.0,80.0,3.0,280.31601801222257
131,31.0,2.0,5.0,1.0,88.0,92.87821782178214,280.31601801222257
132,45.0,3.0,16.0,2.0,103.0,92.87821782178214,2554.0
133,55.0,4.0,9.0,2.0,148.0,8.0,724.0
134,20.0,2.241291147331416,6.0,1.0,145.0,11.0,280.31601801222257
135,22.0,1.0,8.0,1.0,115.0,92.87821782178214,280.31601801222257
136,18.0,2.0,19.0,1.0,176.0,3.0,518.0
137,12.0,2.241291147331416,10.0,2.0,75.0,11.0,41.0
138,12.0,2.241291147331416,15.0,1.0,65.0,92.87821782178214,208.0
139,12.0,1.0,28.0,0.0,71.0,2.0,417.0
140,7.0,2.241291147331416,22.0,0.0,61.0,92.87821782178214,458.0
141,14.0,3.0,22.0,0.0,190.0,92.87821782178214,280.31601801222257
142,18.0,4.0,27.0,1.0,69.0,92.87821782178214,350.0
143,11.0,2.241291147331416,14.0,1.0,51.0,8.0,8.0
144,8.0,2.241291147331416,15.0,0.0,53.0,92.87821782178214,9.0
145,8.0,2.241291147331416,2.0,0.0,48.0,92.87821782178214,34.0
146,6.0,2.241291147331416,3.0,0.0,49.0,92.87821782178214,368.0
147,15.0,2.241291147331416,8.0,0.0,70.0,92.87821782178214,319.0
148,5.0,1.0,9.0,0.0,84.0,92.87821782178214,324.0
149,4.0,2.241291147331416,8.0,1.0,73.0,2.0,7.0
150,9.0,2.241291147331416,6.0,0.0,63.0,92.87821782178214,277.0
151,7.0,2.241291147331416,27.0,0.0,74.0,92.87821782178214,178.0
152,2.0,2.241291147331416,15.0,0.0,61.0,1.0,280.31601801222257
153,2.0,2.241291147331416,21.0,0.0,54.0,92.87821782178214,111.0
154,2.0,1.0,24.0,0.0,55.0,1.0,1.0
155,3.0,1.0,10.0,0.0,53.0,92.87821782178214,110.0
156,8.0,1.0,18.0,0.0,65.0,5.0,757.0
157,8.0,3.0,14.0,2.0,57.0,4.0,280.31601801222257
158,7.0,4.0,12.0,4.0,49.0,92.87821782178214,360.0
159,6.0,5.0,13.0,4.0,21.0,7.0,697.0
160,8.0,2.241291147331416,4.0,1.0,34.0,1.0,280.31601801222257
161,6.0,2.241291147331416,5.0,0.0,10.0,92.87821782178214,4.0
162,3.0,2.241291147331416,5.0,0.0,17.0,92.87821782178214,280.31601801222257
163,3.0,2.241291147331416,3.0,0.0,19.0,92.87821782178214,11.0
164,3.0,2.241291147331416,7.0,1.0,20.0,1.0,12.0
165,2.0,2.241291147331416,19.0,1.0,15.0,92.87821782178214,10.0
166,2.0,2.241291147331416,25.0,0.0,16.0,92.87821782178214,20.0
167,1.0,2.241291147331416,36.0,0.0,15.0,1.0,15.0
168,2.0,2.241291147331416,8.0,0.0,14.0,1.0,16.0
169,6.0,2.241291147331416,18.0,0.0,12.0,92.87821782178214,280.31601801222257
170,5.0,2.241291147331416,12.0,0.0,9.0,92.87821782178214,25.0
171,4.0,2.241291147331416,10.0,0.0,15.0,92.87821782178214,19.0
172,2.0,2.241291147331416,1.0,0.0,24.0,92.87821782178214,117.0
173,2.0,2.241291147331416,2.0,0.0,28.0,1.0,2.0
174,2.0,2.241291147331416,8.0,0.0,25.0,92.87821782178214,26.0
175,0.0,2.241291147331416,13.0,0.0,27.0,92.87821782178214,15.0
176,1.0,1.6666666666666667,5.0,0.0,15.0,37.07777777777777,19.0
177,3.0,1.6666666666666667,2.0,0.0,9.0,37.07777777777777,6.0
178,3.0,1.6666666666666667,9.0,0.0,15.0,37.07777777777777,15.0
179,29.0,2.241291147331416,0.0,0.0,0.0,1.0,109.0
180,47.0,1.0,0.0,0.0,2.0,13.0,280.31601801222257
181,50.0,4.0,15.0,3.0,4.0,92.87821782178214,1017.0
182,38.0,6.0,16.0,4.0,5.0,16.0,126.0
183,23.0,4.0,15.0,5.0,2.0,7.0,1851.0
184,26.0,4.0,28.0,6.0,18.0,12.0,761.0
185,28.0,4.0,14.0,1.0,28.0,3.0,329.0
186,16.0,2.0,8.0,1.0,31.0,92.87821782178214,93.0
187,28.0,1.0,30.0,4.0,56.0,92.87821782178214,1544.0
188,12.0,2.241291147331416,5.0,0.0,88.0,6.0,1437.0
189,13.0,2.0,1.0,0.0,130.0,13.0,16.0
190,11.0,6.0,45.0,0.0,32.0,1.0,44.0
191,9.0,1.0,9.0,0.0,50.0,3.0,280.31601801222257
192,13.0,2.241291147331416,5.0,0.0,43.0,92.87821782178214,1.0
193,6.0,2.241291147331416,21.0,0.0,53.0,4.0,360.0
194,4.0,2.241291147331416,18.0,0.0,58.0,1.0,14.0
195,5.0,2.241291147331416,11.0,0.0,65.0,92.87821782178214,273.0
196,11.0,2.0,8.0,0.0,75.0,2.0,221.0
197,8.0,2.241291147331416,8.0,0.0,64.0,2.0,431.0
198,10.0,2.241291147331416,3.0,0.0,57.0,92.87821782178214,280.31601801222257
199,11.0,2.0,5.0,0.0,56.0,92.87821782178214,280.31601801222257
200,13.0,2.0,15.0,0.0,56.0,92.87821782178214,545.0
201,11.0,2.241291147331416,17.0,0.0,43.0,92.87821782178214,29.0
202,12.0,2.241291147331416,7.0,0.0,52.0,92.87821782178214,6.0
203,4.0,2.241291147331416,5.0,0.0,9.0,92.87821782178214,31.0
