index_seg,csl
97,3.4444444444444446
98,2.8333333333333335
101,2.7142857142857144
102,3.0
103,2.875
104,4.285714285714286
126,3.0
127,3.5
128,3.466666666666667
132,2.0
134,2.8333333333333335
135,3.0
136,3.4285714285714284
137,3.5
138,3.6
139,4.111111111111111
140,4.5
179,3.0
180,2.5
181,2.875
182,3.1052631578947367
183,2.3333333333333335
250,4.0
251,2.3333333333333335
252,2.25
253,3.142857142857143
254,3.4
255,3.0
256,3.0
257,2.7777777777777777
258,2.6666666666666665
267,2.5
269,3.9
329,3.4545454545454546
330,2.5
331,2.7777777777777777
332,3.5
362,3.5
513,2.7142857142857144
574,3.2222222222222223
575,3.3636363636363638
577,3.25
578,2.6
579,3.5
580,4.076923076923077
581,4.052631578947368
582,3.8
583,4.125
613,3.625
614,3.0
615,3.0
616,3.4
617,3.0
648,3.066666666666667
649,3.0
650,2.5
651,3.0
652,3.6
658,2.6
659,4.0
660,3.0
662,3.0
663,3.0
664,3.25
665,3.2
666,3.2
668,3.0
669,3.142857142857143
670,3.6666666666666665
671,3.0
672,2.8
673,2.8
674,3.0
675,3.375
676,3.3333333333333335
677,3.1538461538461537
679,2.6666666666666665
681,2.9
682,3.0
683,3.125
725,3.3
726,2.9545454545454546
737,3.6666666666666665
741,3.5
742,3.2
743,2.0
771,3.0
775,3.0
776,3.75
777,4.0
778,3.9
779,3.8333333333333335
807,3.0
808,3.066666666666667
809,2.4782608695652173
893,2.6
894,2.25
967,4.5
968,4.0
969,2.8333333333333335
970,2.230769230769231
971,2.4285714285714284
972,2.75
973,3.3636363636363638
974,3.5
975,2.25
976,2.7142857142857144
977,3.1
993,3.0
994,3.4
995,4.0
996,3.25
997,2.1666666666666665
998,2.0
999,3.5
1000,3.0
1001,2.7
1002,2.8333333333333335
1003,3.0
1004,3.1666666666666665
1189,5.0
1203,3.6666666666666665
1204,4.0
1237,3.0
1244,3.5
1261,3.0
1278,3.4285714285714284
1531,3.5714285714285716
1532,3.8
1533,3.5714285714285716
2177,2.7142857142857144
2254,3.7142857142857144
2260,4.0
2635,2.2222222222222223
2636,2.0
2637,3.0
2638,2.142857142857143
2639,2.6666666666666665
2641,2.125
2650,3.0
2651,1.0
2652,2.0
2653,2.625
2654,2.3333333333333335
2655,2.0
2656,1.7142857142857142
2657,1.7142857142857142
2658,1.7142857142857142
2659,1.0
2660,1.0
2661,1.0
2662,1.0
2663,1.0
2664,1.0
2665,2.0
2671,2.9166666666666665
2672,2.9
2673,3.2
2674,3.25
2675,2.3333333333333335
2676,2.5
2685,3.2666666666666666
2733,2.7777777777777777
3149,2.75
3150,3.0
3380,3.3333333333333335
3381,3.2
3382,3.5
3383,3.8
3384,3.0
3385,3.625
3386,3.875
3387,2.772727272727273
3388,3.2
3389,3.1176470588235294
3549,2.25
3550,2.25
3593,3.25
3605,3.5
3717,2.0
3718,3.0
3719,3.0
3720,2.0
3721,2.2
3722,2.5714285714285716
3945,4.0
3946,3.142857142857143
3947,3.75
4010,3.0
4012,1.8666666666666667
4013,2.5714285714285716
4014,3.090909090909091
4222,3.0
4270,1.9
4271,3.2222222222222223
4272,3.0
4273,3.0
4276,5.0
4385,4.4
4386,4.0
4387,3.6666666666666665
4418,3.7142857142857144
4419,3.7142857142857144
4429,3.5
4430,3.5
4431,3.6923076923076925
4432,3.875
4472,4.0
4480,3.75
4481,3.769230769230769
4569,4.6
4570,4.25
4737,2.625
4789,3.8333333333333335
4790,4.0
4791,3.6
4811,3.0
4812,3.857142857142857
4870,4.0
4871,3.4
4872,3.4
4873,2.4
4874,3.5
4998,3.0
5203,2.5
5207,3.75
5208,3.5
5209,4.222222222222222
5210,4.2727272727272725
5231,2.5
5284,2.6666666666666665
5285,3.6
5286,3.625
5287,3.6
5288,3.142857142857143
5340,3.142857142857143
5341,3.0
5367,2.7
5368,2.0
5452,4.0
5455,2.7142857142857144
5456,2.4
5457,3.0
5458,3.0
5501,3.4545454545454546
5616,3.5
5617,3.5
5665,3.357142857142857
5668,3.6666666666666665
5669,3.857142857142857
5670,4.0
5671,3.875
5672,3.75
5673,3.7857142857142856
5748,3.3333333333333335
5749,3.7
5750,3.642857142857143
5751,3.6
5752,3.0
5753,3.875
5754,4.0
5755,3.8181818181818183
5756,2.6666666666666665
5757,3.5
5758,3.272727272727273
5759,3.8
5760,3.6666666666666665
5761,3.25
5762,3.6
5821,2.4285714285714284
6000,2.1739130434782608
6001,2.5
6214,3.2
6215,3.5555555555555554
6216,3.2
6217,3.769230769230769
6218,4.181818181818182
6330,3.0
6331,3.0
6332,3.0
6333,3.7142857142857144
6340,3.0
6939,3.625
6940,3.8
6941,3.4285714285714284
6942,3.5
6943,3.4
6944,4.0
6945,3.272727272727273
7010,3.625
7011,3.6
7016,4.333333333333333
7312,3.625
7313,3.235294117647059
7316,3.3333333333333335
7317,4.083333333333333
7318,4.4
7319,3.764705882352941
7320,4.545454545454546
7321,4.75
7322,4.555555555555555
7573,2.0
7574,1.5
7592,3.4
7593,3.625
7594,3.125
7646,3.0
7647,3.0
7683,3.0
7684,2.8333333333333335
7725,3.909090909090909
7726,3.6
7727,3.909090909090909
7728,2.8
7729,2.8
7769,3.75
7770,2.5
7771,2.25
7773,3.25
7774,3.5
7775,3.0
7817,3.0
7818,3.0
7870,3.3333333333333335
7878,2.6666666666666665
7879,3.1
7880,3.5833333333333335
7881,3.1875
7882,2.6666666666666665
7883,3.142857142857143
8226,4.5
8258,4.25
8259,4.5
8260,4.076923076923077
8288,3.75
8289,3.8333333333333335
8290,3.75
8291,4.0
8310,3.9
8311,4.333333333333333
8312,5.0
8345,3.75
8346,3.7142857142857144
8348,3.5
8349,3.2857142857142856
8458,3.4210526315789473
8952,2.6666666666666665
8953,2.6666666666666665
8954,2.5
8955,2.8
9297,1.3333333333333333
9298,1.0
9299,2.0
9300,2.1666666666666665
9301,2.0
9303,2.0
9304,1.6666666666666667
9305,1.0
9306,2.0
9307,1.75
9473,4.0
9474,3.8
9475,3.6
9476,3.4444444444444446
9477,3.6666666666666665
9603,1.6666666666666667
9604,1.6
9605,1.7692307692307692
9606,2.3333333333333335
9750,4.0
9751,3.0
9768,2.5714285714285716
9822,1.5
9855,3.6
9856,3.5
9857,3.0
9858,3.3333333333333335
9859,3.0
9860,3.0
9861,3.727272727272727
9873,3.7142857142857144
9874,2.5714285714285716
9875,2.5714285714285716
9876,3.6
9877,3.6666666666666665
9878,4.0
9879,3.857142857142857
9880,3.0
9881,2.2
9882,1.7777777777777777
10393,4.0
10394,3.857142857142857
10395,3.6666666666666665
10396,3.6666666666666665
10403,3.888888888888889
10448,4.090909090909091
10449,4.142857142857143
10450,3.6666666666666665
10452,3.0
10453,3.0
10454,3.0
10505,3.0
10595,3.0869565217391304
10982,3.0
11287,4.5
11288,3.3333333333333335
11289,3.3333333333333335
11484,3.090909090909091
11485,3.0
11886,3.2857142857142856
11960,2.625
12047,1.7142857142857142
12064,3.9545454545454546
12065,3.4705882352941178
12259,4.0
12260,4.0
12261,4.0
12262,3.6666666666666665
12263,3.8461538461538463
12264,4.0
12265,3.909090909090909
12453,3.2222222222222223
12565,2.8
12566,2.6
12567,2.5
12568,2.6923076923076925
12847,3.2222222222222223
12848,3.1818181818181817
12849,2.8461538461538463
12898,3.9523809523809526
12942,2.6
13305,1.0
13306,2.0
13435,3.0
13447,4.5
13449,4.230769230769231
13477,3.5
13478,3.3333333333333335
