index_seg,csl
97,3.2857142857142856
98,3.0
101,2.8333333333333335
102,3.0
103,2.6666666666666665
104,4.2
126,3.0
127,3.4444444444444446
128,3.3333333333333335
132,2.0
134,2.8
135,3.0
136,3.4285714285714284
137,3.4
138,3.6666666666666665
139,4.166666666666667
140,4.4
179,3.0
180,2.6666666666666665
181,2.9
182,3.1
183,2.25
250,4.0
251,2.0
252,1.75
253,3.0
254,3.4
255,3.0
256,3.0
257,2.8181818181818183
258,2.7142857142857144
267,2.3333333333333335
269,3.875
329,3.3333333333333335
330,2.4285714285714284
331,2.7142857142857144
332,3.3333333333333335
362,3.6666666666666665
513,2.8
574,3.2
575,3.3333333333333335
577,3.2
578,2.5
579,3.75
580,4.0
581,4.0
582,3.6666666666666665
583,3.875
613,3.5714285714285716
614,3.0
615,3.0
616,3.5
617,3.0
648,3.111111111111111
649,2.75
650,2.5
651,2.6666666666666665
652,3.6666666666666665
658,2.6
659,3.5
660,3.0
662,3.0
663,3.0
664,3.3333333333333335
665,3.0
666,3.0
668,3.0
669,3.25
670,3.5
671,3.0
672,2.857142857142857
673,2.75
674,2.75
675,3.1666666666666665
676,3.0
677,3.0
679,2.6666666666666665
681,2.7777777777777777
682,2.8
683,2.857142857142857
725,3.1666666666666665
726,2.9375
737,4.0
741,3.5
742,3.2
743,2.0
771,3.0
775,3.0
776,3.75
777,4.0
778,3.857142857142857
779,3.8
807,3.0
808,3.0
809,2.5
893,2.25
894,2.1666666666666665
967,4.5
968,4.0
969,2.8333333333333335
970,2.2857142857142856
971,2.5
972,2.7142857142857144
973,3.142857142857143
974,3.25
975,2.111111111111111
976,2.75
977,3.1666666666666665
993,2.6666666666666665
994,3.0
995,4.0
996,3.0
997,2.25
998,2.0
999,3.0
1000,2.8
1001,2.8333333333333335
1002,3.0
1003,2.8
1004,2.727272727272727
1189,5.0
1203,4.0
1204,4.0
1237,3.0
1244,3.5
1261,3.0
1278,3.5
1531,3.5
1532,3.6
1533,3.6666666666666665
2177,2.6
2254,3.6
2260,4.0
2635,2.142857142857143
2636,2.0
2637,3.0
2638,2.25
2639,2.5
2641,2.0
2650,3.0
2651,1.0
2652,2.0
2653,2.6666666666666665
2654,2.3333333333333335
2655,2.0
2656,1.8
2657,1.8
2658,1.8
2659,1.0
2660,1.0
2661,1.0
2662,1.0
2663,1.0
2664,1.0
2665,2.0
2671,3.0
2672,2.857142857142857
2673,3.25
2674,3.25
2675,2.2857142857142856
2676,2.5
2685,3.2
2733,2.7142857142857144
3149,2.6666666666666665
3150,3.0
3380,3.2
3381,3.0
3382,3.2
3383,3.4
3384,3.0
3385,3.6
3386,3.8
3387,2.8125
3388,3.111111111111111
3389,3.1538461538461537
3549,2.25
3550,2.25
3593,3.4
3605,3.5
3717,2.0
3718,2.6666666666666665
3719,2.8
3720,2.0
3721,2.0
3722,2.6
3945,4.0
3946,3.4285714285714284
3947,3.75
4010,3.0
4012,1.9090909090909092
4013,2.5
4014,2.875
4222,3.0
4270,2.25
4271,3.0
4272,3.0
4273,3.0
4276,5.0
4385,4.333333333333333
4386,4.0
4387,3.6666666666666665
4418,3.625
4419,3.5714285714285716
4429,3.7142857142857144
4430,3.5833333333333335
4431,3.6666666666666665
4432,3.8
4472,4.0
4480,3.6666666666666665
4481,3.625
4569,4.631578947368421
4570,4.375
4737,2.6666666666666665
4789,3.7777777777777777
4790,4.0
4791,3.5
4811,3.125
4812,3.7142857142857144
4870,4.0
4871,3.5
4872,3.4285714285714284
4873,2.75
4874,3.1666666666666665
4998,2.6666666666666665
5203,2.6666666666666665
5207,3.75
5208,3.5
5209,4.3
5210,4.333333333333333
5231,2.5
5284,2.857142857142857
5285,3.3333333333333335
5286,3.6666666666666665
5287,3.6
5288,3.25
5340,3.2
5341,3.0
5367,2.7142857142857144
5368,2.0
5452,4.0
5455,2.6
5456,2.4285714285714284
5457,3.5
5458,3.0
5501,3.142857142857143
5616,3.6666666666666665
5617,3.6666666666666665
5665,3.4444444444444446
5666,4.0
5667,4.0
5668,3.6666666666666665
5669,3.8
5670,4.0
5671,3.857142857142857
5672,3.75
5673,3.7
5748,3.3333333333333335
5749,3.6666666666666665
5750,3.6363636363636362
5751,3.75
5752,3.0
5753,3.8
5754,4.1
5755,3.75
5756,2.5
5757,3.6666666666666665
5758,3.3333333333333335
5759,3.6666666666666665
5760,3.6666666666666665
5761,3.25
5762,3.8
5821,2.6
6000,2.1176470588235294
6001,2.25
6214,3.0
6215,3.4285714285714284
6216,3.142857142857143
6217,3.5833333333333335
6218,3.7777777777777777
6330,3.0
6331,3.0
6332,3.1666666666666665
6333,3.75
6340,3.0
6939,3.6666666666666665
6940,3.75
6941,3.4
6942,3.5
6943,3.5
6944,4.0
6945,3.0
7010,3.5714285714285716
7011,3.6
7016,4.333333333333333
7312,3.5
7313,3.272727272727273
7316,3.4
7317,4.125
7318,4.333333333333333
7319,3.8
7320,4.428571428571429
7321,4.666666666666667
7322,4.5
7573,2.0
7574,1.5
7592,3.5
7593,3.8333333333333335
7594,3.142857142857143
7646,3.0
7647,2.6666666666666665
7683,3.0
7684,3.0
7725,4.0
7726,3.5
7727,3.875
7728,2.75
7729,2.75
7769,3.75
7770,2.5
7771,2.5
7773,3.2
7774,3.4
7775,3.0
7817,3.0
7818,3.0
7870,3.3333333333333335
7878,2.6
7879,3.125
7880,3.5
7881,3.076923076923077
7882,2.75
7883,3.125
8226,4.333333333333333
8258,4.333333333333333
8259,4.4
8260,4.0
8288,3.75
8289,3.8333333333333335
8290,3.75
8291,4.0
8310,3.888888888888889
8311,4.333333333333333
8312,5.0
8345,3.6666666666666665
8346,3.5
8347,3.0
8348,3.5714285714285716
8349,3.1666666666666665
8458,3.3636363636363638
8952,2.6666666666666665
8953,2.8
8954,2.5
8955,2.75
9297,1.5
9298,1.0
9299,2.2
9300,2.1666666666666665
9301,2.0
9303,2.0
9304,1.5
9305,1.0
9306,1.8333333333333333
9307,1.8
9473,3.75
9474,3.7142857142857144
9475,3.6
9476,3.4
9477,3.5
9603,1.625
9604,1.5
9605,1.75
9606,2.0833333333333335
9750,4.0
9751,3.0
9768,2.5
9822,2.0
9855,3.75
9856,3.625
9857,3.0
9858,3.25
9859,3.0
9860,3.2
9861,3.7
9873,3.6
9874,2.5
9875,2.5
9876,3.6
9877,3.6666666666666665
9878,3.8
9879,3.6
9880,3.0
9881,2.2
9882,1.8888888888888888
10393,4.0
10394,3.8333333333333335
10395,3.6666666666666665
10396,3.6
10403,4.0
10448,4.222222222222222
10449,4.142857142857143
10450,3.7142857142857144
10451,4.0
10452,3.0
10453,3.0
10454,3.0
10505,3.0
10595,2.933333333333333
10982,3.0
11287,4.333333333333333
11288,3.5
11289,3.5
11484,2.857142857142857
11485,3.0
11886,3.25
11960,2.5555555555555554
12047,1.75
12064,4.071428571428571
12065,3.5
12259,4.2
12260,4.0
12261,4.0
12262,3.6666666666666665
12263,3.875
12264,4.0
12265,3.875
12453,3.2
12565,2.857142857142857
12566,2.6666666666666665
12567,2.6666666666666665
12568,2.8
12847,3.2
12848,3.1666666666666665
12849,2.857142857142857
12898,4.071428571428571
12942,2.6666666666666665
13305,1.0
13306,2.0
13435,3.0
13447,4.5
13449,4.25
13477,3.5
13478,3.3333333333333335
