q,a,upsample,model_name,feature_selection,#test_sample,#train_sample,test_n_classes,train_n_classes,RoadNet,Segment total,Segment type,RoadNet+Segment total,RoadNet+Segment type
age,25-34,None,GDBcls,None,42.0,167.0,4.4,5.0,0.5103629308785458,0.41806910776273803,0.4470391660687724,0.5465189867525786,0.5145850751758738
age,25-34,None,XGBcls,None,42.0,167.0,4.4,5.0,0.5110048949613109,0.4470796958157009,0.4659031491661292,0.5209540831524299,0.49322824954680905
age,25-34,None,XGBreg,None,42.0,167.0,4.4,5.0,0.4845069293226799,0.39877124181754486,0.42863550020702645,0.47638215942080137,0.4838429425765816
age,35-44,None,GDBcls,None,30.0,120.0,4.3,5.0,0.5777888404113717,0.4911558174852767,0.44381469691299413,0.5451771394787579,0.47441851708091026
age,35-44,None,XGBcls,None,30.0,120.0,4.3,5.0,0.493744334749032,0.49798930493569965,0.4155904321856334,0.5503081886316095,0.4800568780694617
age,35-44,None,XGBreg,None,30.0,120.0,4.3,5.0,0.4261506615721104,0.470548720352076,0.46979229512317755,0.46636811927304284,0.49740001075058
bk_purpose,"50% utility, 50% recreational",None,GDBcls,None,31.0,123.0,4.6,5.0,0.5346429990529988,0.3809828508043328,0.43679251486414666,0.5002445672741063,0.4394637918736589
bk_purpose,"50% utility, 50% recreational",None,XGBcls,None,31.0,123.0,4.6,5.0,0.44565563758011856,0.38482060340286023,0.4258351725516733,0.45090814737546403,0.4525970499002899
bk_purpose,"50% utility, 50% recreational",None,XGBreg,None,31.0,123.0,4.6,5.0,0.4300820278780383,0.4346646181853074,0.4358704683981542,0.45038538922863613,0.4569091222439857
bk_purpose,Mainly recreational biking ,None,GDBcls,None,7.0,27.0,3.6,5.0,0.5634353741496598,0.3141836734693878,0.2875850340136054,0.49408163265306115,0.47982993197278906
bk_purpose,Mainly recreational biking ,None,XGBcls,None,7.0,27.0,3.6,5.0,0.5588321995464852,0.3237074829931973,0.4489455782312925,0.47384353741496604,0.513673469387755
bk_purpose,Mainly recreational biking ,None,XGBreg,None,7.0,27.0,3.6,5.0,0.5206462585034013,0.18166666666666667,0.4057142857142857,0.48428571428571426,0.44598639455782313
bk_purpose,Mainly utility biking ,None,GDBcls,None,43.0,170.0,4.8,5.0,0.5570124630896246,0.40425267208140586,0.49620857380905237,0.5835426792989881,0.5714297847497591
bk_purpose,Mainly utility biking ,None,XGBcls,None,43.0,170.0,4.8,5.0,0.5292830761824485,0.42325998864907605,0.4673315692099119,0.560555042005195,0.5235415448603875
bk_purpose,Mainly utility biking ,None,XGBreg,None,43.0,170.0,4.8,5.0,0.45898514543054947,0.41058652190304956,0.4386597426217455,0.5326459107114213,0.4714786159562928
bk_type,Hybrid Bike,None,GDBcls,None,45.0,176.0,4.6,5.0,0.518555362057122,0.3733075993012933,0.4326988085053742,0.5215501446777498,0.4797043864569508
bk_type,Hybrid Bike,None,XGBcls,None,45.0,176.0,4.6,5.0,0.4986273217530554,0.3407158889853097,0.4027883405843891,0.49999094762901697,0.4603745204526035
bk_type,Hybrid Bike,None,XGBreg,None,45.0,176.0,4.6,5.0,0.42038846899201116,0.3739724112520447,0.3910997053203926,0.4189633616885585,0.43601012138420964
bk_type,Hybrid Bike,svm,GDBcls,mrmr,45.0,290.82758620689657,4.344827586206897,5.0,0.5158259286873669,0.3904300376591777,0.4741750578224926,0.5086290723412814,0.503447307114815
bk_type,Hybrid Bike,svm,XGBcls,None,45.0,290.82758620689657,4.344827586206897,5.0,0.5134332835714236,0.3318644896339312,0.4378111177019384,0.52975945521602,0.4935210977491558
bk_type,Hybrid Bike,svm,XGBreg,rfecv_linsvc,45.0,290.82758620689657,4.344827586206897,5.0,0.36860198412922324,0.3547388229265453,0.39447655603799797,0.43798987494995506,0.4333208705393579
bk_type,Road Bike,None,GDBcls,None,27.0,104.0,4.4,5.0,0.5733024504533506,0.41367443196976883,0.5164926967065343,0.5805207414794245,0.5675942304906769
bk_type,Road Bike,None,XGBcls,None,27.0,104.0,4.4,5.0,0.5433920665272275,0.41044724631058216,0.4233128908956223,0.4917889195785752,0.4944711288522029
bk_type,Road Bike,None,XGBreg,None,27.0,104.0,4.4,5.0,0.5108768259892822,0.4138108165716621,0.4707092391327235,0.5686280438259532,0.5217620818622974
experienceLevel,confident,None,GDBcls,None,50.0,200.0,4.7,5.0,0.5102745705035311,0.4247497513536665,0.4019082417019214,0.509172357384118,0.5218222957697558
experienceLevel,confident,None,XGBcls,None,50.0,200.0,4.7,5.0,0.48401632990562293,0.40918271319232175,0.42824570704748927,0.5231378321393256,0.508564992081173
experienceLevel,confident,None,XGBreg,None,50.0,200.0,4.7,5.0,0.4862458014704387,0.3353296146594709,0.3511022647320503,0.46031354597294866,0.43645200484678914
experienceLevel,confident,svm,GDBcls,mrmr,50.0,324.94,4.7,5.0,0.5102745705035311,0.4247497513536665,0.4019082417019214,0.509172357384118,0.5218222957697558
experienceLevel,confident,svm,XGBcls,None,50.0,324.94,4.7,5.0,0.48401632990562293,0.40918271319232175,0.42824570704748927,0.5231378321393256,0.508564992081173
experienceLevel,confident,svm,XGBreg,rfecv_linsvc,50.0,324.94,4.7,5.0,0.478339185662529,0.3265815109402481,0.33674538624432593,0.45921728636776116,0.4439898599914831
experienceLevel,fearless,None,GDBcls,None,36.0,142.0,4.1,5.0,0.5392002051434279,0.4609967970856233,0.5140426999031464,0.544678561198481,0.5493507842461176
experienceLevel,fearless,None,XGBcls,None,36.0,142.0,4.1,5.0,0.5220753982587049,0.44219774269949735,0.5506458430137475,0.522899847494097,0.5067357847280813
experienceLevel,fearless,None,XGBreg,None,36.0,142.0,4.1,5.0,0.49071751474336694,0.4700186223324011,0.5348854575068276,0.5105477265265173,0.5238768069783594
household_income,"$100,000 to $149,999",None,GDBcls,None,10.0,40.0,4.0,4.5,0.5593968253968254,0.5012359307359306,0.48391269841269835,0.527437728937729,0.48428499278499276
household_income,"$100,000 to $149,999",None,XGBcls,None,10.0,40.0,4.0,4.5,0.49317316017316026,0.40550432900432903,0.502452380952381,0.40269841269841267,0.507521645021645
household_income,"$100,000 to $149,999",None,XGBreg,None,10.0,40.0,4.0,4.5,0.3334365079365079,0.3627539682539682,0.37195670995670993,0.25317460317460316,0.3651599511599512
household_income,"$150,000 or more",None,GDBcls,None,30.0,119.0,3.6,5.0,0.5665494976976633,0.5135375821774109,0.5155624849727798,0.6046073067362422,0.5983252253691067
household_income,"$150,000 or more",None,XGBcls,None,30.0,119.0,3.6,5.0,0.5625678865473469,0.4960357888555726,0.5082665850059741,0.574125433470411,0.5756435453712816
household_income,"$150,000 or more",None,XGBreg,None,30.0,119.0,3.6,5.0,0.5642045568904875,0.4597971383238442,0.5226746087945902,0.5438499936978035,0.5793839443842104
household_income,"$25,000 to $39,999",None,GDBcls,None,10.0,40.0,4.0,5.0,0.8275824175824177,0.377044289044289,0.4764330669330669,0.771547619047619,0.6530238095238096
household_income,"$25,000 to $39,999",None,XGBcls,None,10.0,40.0,4.0,5.0,0.6449761904761904,0.38583189033189036,0.6248701853701853,0.626010101010101,0.6751068376068377
household_income,"$25,000 to $39,999",None,XGBreg,None,10.0,40.0,4.0,5.0,0.3288982683982683,0.32080303030303037,0.34460750360750353,0.3203463203463204,0.39628138528138523
household_income,"$55,000 to $69,999",None,GDBcls,None,8.0,28.0,2.9,3.9,0.5843452380952382,0.3304040404040404,0.41105158730158725,0.6068154761904763,0.5358928571428572
household_income,"$55,000 to $69,999",None,XGBcls,None,8.0,28.0,2.9,3.9,0.623204365079365,0.39264041514041514,0.5232864357864357,0.5478075396825397,0.47494318181818185
household_income,"$55,000 to $69,999",None,XGBreg,None,8.0,28.0,2.9,3.9,0.42705176767676767,0.41325216450216445,0.3467451298701298,0.38,0.35515151515151516
household_income,"$70,000 to $84,999",None,GDBcls,None,12.0,45.0,3.5,5.0,0.4633857551117613,0.40707785599619956,0.48658596040755475,0.4346548114195173,0.4380374342719543
household_income,"$70,000 to $84,999",None,XGBcls,None,12.0,45.0,3.5,5.0,0.4214787948979125,0.40528255026707044,0.44100632490144875,0.3400763615469498,0.4056648975379626
household_income,"$70,000 to $84,999",None,XGBreg,None,12.0,45.0,3.5,5.0,0.5286491177667648,0.4396754715872363,0.4704167280947467,0.5567630000718236,0.5076747557997556
household_income,"$85,000 to $99,999",None,GDBcls,None,12.0,45.0,4.3,5.0,0.6668543956043956,0.40003228253228257,0.40661619834413953,0.521012506012506,0.49490013254719134
household_income,"$85,000 to $99,999",None,XGBcls,None,12.0,45.0,4.3,5.0,0.579994288119288,0.45812312687312684,0.41287157287157283,0.6171254902504902,0.4538187411716823
household_income,"$85,000 to $99,999",None,XGBreg,None,12.0,45.0,4.3,5.0,0.5009024635495224,0.3701312195429843,0.3206935425685426,0.44329147704147703,0.43674145299145295
household_income,"Less than $24,999",None,GDBcls,None,10.0,40.0,4.2,5.0,0.387063492063492,0.23436002886002885,0.3438095238095238,0.39961471861471853,0.3284112554112554
household_income,"Less than $24,999",None,XGBcls,None,10.0,40.0,4.2,5.0,0.34079220779220776,0.1538961038961039,0.27185714285714285,0.3401349206349206,0.39189682539682535
household_income,"Less than $24,999",None,XGBreg,None,10.0,40.0,4.2,5.0,0.2353773448773449,0.18495165945165948,0.314468253968254,0.26205627705627704,0.30712987012987014
