q,a,upsample,model_name,feature_selection,#test_sample,#train_sample,test_n_classes,train_n_classes,RoadNet,Segment total,Segment type,RoadNet+Segment total,RoadNet+Segment type
age,25-34,None,BAGcls,None,76.0,304.0,4.7,5.0,0.5131578947368421,0.43947368421052635,0.5039473684210526,0.5263157894736843,0.5526315789473684
age,25-34,None,RFreg,None,76.0,304.0,4.7,5.0,0.4723684210526316,0.43947368421052635,0.44210526315789467,0.5144736842105263,0.4881578947368421
age,25-34,None,XGBcls,None,76.0,304.0,4.7,5.0,0.5026315789473684,0.4342105263157895,0.4802631578947369,0.518421052631579,0.5223684210526315
age,35-44,None,BAGcls,None,67.0,266.0,4.8,5.0,0.5417910447761194,0.45820895522388055,0.5119402985074626,0.5432835820895522,0.5373134328358209
age,35-44,None,RFreg,None,67.0,266.0,4.8,5.0,0.4746268656716418,0.4328358208955224,0.42686567164179107,0.4746268656716418,0.44925373134328356
age,35-44,None,XGBcls,None,67.0,266.0,4.8,5.0,0.5044776119402985,0.4552238805970149,0.5179104477611941,0.5507462686567164,0.5298507462686566
age,45-54,None,BAGcls,None,33.0,131.0,4.5,5.0,0.43939393939393945,0.393939393939394,0.4606060606060606,0.43939393939393945,0.4909090909090909
age,45-54,None,RFreg,None,33.0,131.0,4.5,5.0,0.45757575757575764,0.4242424242424242,0.4424242424242425,0.47575757575757577,0.44848484848484854
age,45-54,None,XGBcls,None,33.0,131.0,4.5,5.0,0.4545454545454546,0.390909090909091,0.45757575757575764,0.45757575757575764,0.4696969696969697
age,55-64,None,BAGcls,None,36.0,144.0,3.9,5.0,0.5277777777777778,0.4583333333333333,0.4638888888888889,0.49722222222222223,0.45833333333333337
age,55-64,None,RFreg,None,36.0,144.0,3.9,5.0,0.5,0.47777777777777775,0.46388888888888885,0.4805555555555555,0.4833333333333334
age,55-64,None,XGBcls,None,36.0,144.0,3.9,5.0,0.4666666666666667,0.4666666666666668,0.4611111111111111,0.4666666666666667,0.49444444444444446
age,65-74,None,BAGcls,None,21.0,80.0,4.0,5.0,0.5095238095238095,0.3095238095238095,0.39047619047619053,0.4571428571428572,0.45714285714285713
age,65-74,None,RFreg,None,21.0,80.0,4.0,5.0,0.3952380952380953,0.29047619047619044,0.3,0.380952380952381,0.35238095238095235
age,65-74,None,XGBcls,None,21.0,80.0,4.0,5.0,0.4904761904761905,0.3333333333333333,0.457142857142857,0.4333333333333333,0.4523809523809524
bk_purpose,"50% utility, 50% recreational",None,BAGcls,None,74.0,294.0,4.9,5.0,0.4851351351351352,0.4608108108108109,0.4837837837837838,0.5054054054054054,0.5094594594594594
bk_purpose,"50% utility, 50% recreational",None,RFreg,None,74.0,294.0,4.9,5.0,0.4729729729729731,0.4432432432432433,0.4594594594594595,0.4878378378378379,0.46621621621621634
bk_purpose,"50% utility, 50% recreational",None,XGBcls,None,74.0,294.0,4.9,5.0,0.43648648648648647,0.44594594594594594,0.47297297297297297,0.48513513513513506,0.49459459459459454
bk_purpose,Mainly recreational biking ,None,BAGcls,None,40.0,158.0,4.4,5.0,0.5625,0.39,0.425,0.5175000000000001,0.5349999999999999
bk_purpose,Mainly recreational biking ,None,RFreg,None,40.0,158.0,4.4,5.0,0.5375000000000001,0.4050000000000001,0.4325,0.51,0.47000000000000003
bk_purpose,Mainly recreational biking ,None,XGBcls,None,40.0,158.0,4.4,5.0,0.495,0.36750000000000005,0.4325,0.445,0.47000000000000003
bk_purpose,Mainly utility biking ,None,BAGcls,None,81.0,321.0,4.8,5.0,0.5271604938271605,0.42098765432098767,0.5123456790123456,0.5296296296296297,0.5444444444444445
bk_purpose,Mainly utility biking ,None,RFreg,None,81.0,321.0,4.8,5.0,0.511111111111111,0.42839506172839503,0.41604938271604935,0.5,0.4481481481481481
bk_purpose,Mainly utility biking ,None,XGBcls,None,81.0,321.0,4.8,5.0,0.5148148148148148,0.4469135802469135,0.46419753086419757,0.5037037037037038,0.537037037037037
bk_type,CaBi Bike (Shared bike in the DC region),None,BAGcls,None,23.0,89.0,3.8,5.0,0.508695652173913,0.40869565217391307,0.45652173913043476,0.43478260869565216,0.4695652173913043
bk_type,CaBi Bike (Shared bike in the DC region),None,RFreg,None,23.0,89.0,3.8,5.0,0.3826086956521739,0.3739130434782609,0.38260869565217387,0.3869565217391304,0.3782608695652173
bk_type,CaBi Bike (Shared bike in the DC region),None,XGBcls,None,23.0,89.0,3.8,5.0,0.4695652173913043,0.39565217391304347,0.408695652173913,0.4304347826086956,0.46521739130434775
bk_type,Hybrid Bike,None,BAGcls,None,78.0,309.0,4.5,5.0,0.5512820512820512,0.39615384615384613,0.476923076923077,0.5320512820512822,0.5128205128205128
bk_type,Hybrid Bike,None,RFreg,None,78.0,309.0,4.5,5.0,0.4666666666666667,0.4179487179487181,0.40641025641025647,0.46153846153846156,0.432051282051282
bk_type,Hybrid Bike,None,XGBcls,None,78.0,309.0,4.5,5.0,0.4884615384615385,0.35769230769230764,0.4384615384615385,0.49743589743589733,0.4602564102564103
bk_type,Road Bike,None,BAGcls,None,76.0,301.0,4.4,5.0,0.5381578947368422,0.4749999999999999,0.5486842105263158,0.5355263157894736,0.5552631578947368
bk_type,Road Bike,None,RFreg,None,76.0,301.0,4.4,5.0,0.5026315789473685,0.4697368421052632,0.4776315789473684,0.5355263157894736,0.49868421052631584
bk_type,Road Bike,None,XGBcls,None,76.0,301.0,4.4,5.0,0.49342105263157904,0.46842105263157885,0.5447368421052632,0.5328947368421053,0.525
experienceLevel,confident,None,BAGcls,None,80.0,320.0,4.9,5.0,0.5149999999999999,0.49375,0.48500000000000004,0.5475000000000001,0.54
experienceLevel,confident,None,RFreg,None,80.0,320.0,4.9,5.0,0.4625,0.46375,0.43499999999999994,0.5025000000000001,0.46875
experienceLevel,confident,None,XGBcls,None,80.0,320.0,4.9,5.0,0.48749999999999993,0.45125000000000004,0.4774999999999999,0.55625,0.5425
experienceLevel,fearless,None,BAGcls,None,78.0,310.0,4.4,5.0,0.5769230769230769,0.5128205128205128,0.5474358974358975,0.5756410256410256,0.5807692307692308
experienceLevel,fearless,None,RFreg,None,78.0,310.0,4.4,5.0,0.5794871794871795,0.5269230769230769,0.5192307692307693,0.5846153846153845,0.5474358974358975
experienceLevel,fearless,None,XGBcls,None,78.0,310.0,4.4,5.0,0.5564102564102564,0.5384615384615385,0.5551282051282052,0.5871794871794871,0.5615384615384615
experienceLevel,interested,None,BAGcls,None,24.0,92.0,4.2,4.9,0.5708333333333334,0.39583333333333337,0.475,0.5625,0.5083333333333333
experienceLevel,interested,None,RFreg,None,24.0,92.0,4.2,4.9,0.575,0.4041666666666667,0.4291666666666667,0.5166666666666666,0.4499999999999999
experienceLevel,interested,None,XGBcls,None,24.0,92.0,4.2,4.9,0.5625,0.32916666666666666,0.4833333333333333,0.5083333333333334,0.525
gender,Female,None,BAGcls,None,76.0,304.0,4.9,5.0,0.5263157894736842,0.4078947368421053,0.4894736842105264,0.5447368421052633,0.5236842105263158
gender,Female,None,RFreg,None,76.0,304.0,4.9,5.0,0.4723684210526316,0.40131578947368424,0.40657894736842104,0.46447368421052637,0.42894736842105263
gender,Female,None,XGBcls,None,76.0,304.0,4.9,5.0,0.49078947368421055,0.393421052631579,0.4802631578947369,0.5092105263157894,0.5078947368421052
gender,Male,None,BAGcls,None,80.0,319.0,4.6,5.0,0.4925,0.40750000000000003,0.47625,0.4875,0.48125
gender,Male,None,RFreg,None,80.0,319.0,4.6,5.0,0.4725,0.41000000000000003,0.425,0.49000000000000005,0.44000000000000006
gender,Male,None,XGBcls,None,80.0,319.0,4.6,5.0,0.4700000000000001,0.4375,0.47000000000000003,0.5050000000000001,0.49624999999999997
household_income,"$100,000 to $149,999",None,BAGcls,None,45.0,177.0,4.6,5.0,0.4333333333333334,0.39999999999999997,0.40888888888888886,0.4688888888888889,0.4333333333333333
household_income,"$100,000 to $149,999",None,RFreg,None,45.0,177.0,4.6,5.0,0.41999999999999993,0.3933333333333334,0.38888888888888895,0.44000000000000006,0.41555555555555557
household_income,"$100,000 to $149,999",None,XGBcls,None,45.0,177.0,4.6,5.0,0.4133333333333333,0.37777777777777777,0.38666666666666666,0.4466666666666666,0.39333333333333337
household_income,"$150,000 or more",None,BAGcls,None,72.0,288.0,4.2,5.0,0.5722222222222222,0.48888888888888893,0.5486111111111109,0.6083333333333335,0.5972222222222221
household_income,"$150,000 or more",None,RFreg,None,72.0,288.0,4.2,5.0,0.5597222222222222,0.5125000000000001,0.5069444444444444,0.5694444444444445,0.5416666666666667
household_income,"$150,000 or more",None,XGBcls,None,72.0,288.0,4.2,5.0,0.5319444444444444,0.5125,0.5416666666666666,0.5611111111111111,0.5666666666666667
household_income,"$55,000 to $69,999",None,BAGcls,None,27.0,105.0,4.7,5.0,0.49259259259259264,0.3407407407407407,0.5037037037037038,0.5407407407407407,0.5333333333333333
household_income,"$55,000 to $69,999",None,RFreg,None,27.0,105.0,4.7,5.0,0.44074074074074077,0.33333333333333337,0.4259259259259259,0.437037037037037,0.4259259259259259
household_income,"$55,000 to $69,999",None,XGBcls,None,27.0,105.0,4.7,5.0,0.4666666666666666,0.3518518518518518,0.47407407407407404,0.47777777777777775,0.4851851851851852
household_income,"$70,000 to $84,999",None,BAGcls,None,41.0,161.0,4.5,5.0,0.5170731707317073,0.35609756097560974,0.40487804878048783,0.4878048780487806,0.4365853658536585
household_income,"$70,000 to $84,999",None,RFreg,None,41.0,161.0,4.5,5.0,0.4439024390243903,0.35365853658536583,0.348780487804878,0.4292682926829269,0.4048780487804879
household_income,"$70,000 to $84,999",None,XGBcls,None,41.0,161.0,4.5,5.0,0.47804878048780497,0.35853658536585364,0.35365853658536583,0.4536585365853659,0.451219512195122
household_income,"$85,000 to $99,999",None,BAGcls,None,37.0,147.0,4.6,5.0,0.4378378378378379,0.3810810810810811,0.40540540540540543,0.47027027027027035,0.4351351351351352
household_income,"$85,000 to $99,999",None,RFreg,None,37.0,147.0,4.6,5.0,0.4000000000000001,0.32432432432432434,0.3324324324324325,0.3918918918918919,0.3621621621621622
household_income,"$85,000 to $99,999",None,XGBcls,None,37.0,147.0,4.6,5.0,0.44594594594594594,0.3783783783783784,0.46486486486486484,0.45675675675675675,0.41621621621621624
household_income,"Less than $24,999",None,BAGcls,None,23.0,92.0,4.9,5.0,0.46521739130434786,0.2869565217391304,0.3565217391304348,0.39565217391304347,0.3999999999999999
household_income,"Less than $24,999",None,RFreg,None,23.0,92.0,4.9,5.0,0.29999999999999993,0.19130434782608693,0.25217391304347825,0.2739130434782609,0.28695652173913044
household_income,"Less than $24,999",None,XGBcls,None,23.0,92.0,4.9,5.0,0.4,0.2782608695652174,0.3565217391304348,0.3434782608695651,0.4
