,col,pcnt,feature
0,311_ALLEY REPAIR,0.7920425972489277,311
1,311_ALLEYLIGHT REPAIR,0.7237095104274516,311
2,311_ANC RESOLUTION,0.9993344179855052,311
3,311_BICYCLE SERVICES,0.9905339446827393,311
4,311_BICYCLES,0.8838189616920574,311
5,311_BRIDGE MAINTENANCE R,1.0,311
6,311_BULB OUT,1.0,311
7,311_BUS AND/OR RAIL ISSU,0.9346250554651678,311
8,311_BUS SHELTERS,1.0,311
9,311_CHILD SAFETY SEAT PR,0.9678302026327467,311
10,311_CURB GUTTER REPAIR,0.8179263422570625,311
11,311_DDOT CITATION,0.9925306907262239,311
12,311_FLASHER MALFUNCTION,1.0,311
13,311_FLASHER MODIFICATION,1.0,311
14,311_LIGHT-INFRASTRUCTURE,0.9981511610708476,311
15,311_LIGHT-LIGHT POLE,0.9943795296553765,311
16,311_LIGHT-OHGS,0.9989646501996746,311
17,311_LIGHT-TUNNEL/UNDPASS,0.9975595326135187,311
18,311_MARKING INSTALLATION,0.9210176009466056,311
19,311_MARKING MAINTENANCE,0.8971306019819554,311
20,311_MARKING MODIFICATION,0.9565892619434995,311
21,311_MARKING REMOVAL,0.9937879011980476,311
22,311_PARKING - HANDICAP,1.0,311
23,311_PARKING METER REQUES,0.7027067001922792,311
24,311_PAVE,0.9999260464428339,311
25,311_PEDESTRIAN SAFETY PR,1.0,311
26,311_PEDESTRIAN SIGNAL MA,1.0,311
27,311_PEDESTRIAN SIGNAL RE,0.9997041857713356,311
28,311_POTHOLES,0.2175713651826653,311
29,311_PUBLIC SPACE - OBSTR,1.0,311
30,311_PUSH BUTTON MALFUNCT,1.0,311
31,311_RESIDENT PARKING PER,0.9543706552285165,311
32,311_RESIDENTIAL PERMIT -,1.0,311
33,311_ROADWAY LIGHTING ,0.8167430853424049,311
34,311_ROADWAY MARKINGS,0.9661292708179263,311
35,311_ROADWAY REPAIR,0.9210176009466056,311
36,311_ROADWAY SIGN,0.6148498742789528,311
37,311_S0280,0.9999260464428339,311
38,311_S0291,0.9999260464428339,311
39,311_S0306,0.9997041857713356,311
40,311_S0381,0.9999260464428339,311
41,311_S0457,1.0,311
42,311_S0460,1.0,311
43,311_S0499,0.9997781393285017,311
44,311_SAFE ROUTES TO SCHOO,0.9781837006360006,311
