column,,column,db_nb,I,p_norm,p_rand,z_norm,z_rand,ftr_type
v0rq_Failure to stop for pedestrians,1148,v0rq_Failure to stop for pedestrians,10,4.005762289263477,0.0,0.0,21.06381688850063,21.336306523525536,v0
STREETTYPE_CRES,43,STREETTYPE_CRES,50,3.017935608353687,0.0,0.0,147.53719125239007,147.72299765012173,seg_attr
crash_evt_NON_COLLISION,525,crash_evt_NON_COLLISION,10,2.493982931681886,0.0,0.0,13.114454610522902,13.171242991819264,crash
SEGMENTTYPE_2,126,SEGMENTTYPE_2,10,2.187924195463699,0.0,0.0,11.505111447886762,11.608196571542406,seg_attr
STREETTYPE_CIR,36,STREETTYPE_CIR,50,2.101025889319223,0.0,0.0,102.71351473376869,103.2802019345303,seg_attr
v0rq_Poor visibility,1204,v0rq_Poor visibility,10,1.8281467233943054,0.0,0.0,9.61330002012008,9.66087127669024,v0
ud_node_ecc_SgAsNd,273,ud_node_ecc_SgAsNd,10,1.5569104756898133,4.440892098500626e-16,0.0,8.187063324196718,8.55710506134021,net_SaN
d_node_ecc_SgAsNd,189,d_node_ecc_SgAsNd,10,1.4667148055454262,2.4424906541753444e-14,2.6645352591003757e-15,7.712789049788248,7.983820093636275,net_SaN
v0rq_Blocking the crosswalk,1127,v0rq_Blocking the crosswalk,10,1.4637380486259093,2.7977620220553945e-14,2.042810365310288e-14,7.697136422274817,7.73598881648718,v0
ud_bridge_SgAsEg,294,ud_bridge_SgAsEg,10,1.3397490348257544,3.704592188569222e-12,4.516387264175137e-13,7.045167215099414,7.332530195023315,net_SaE
STREETTYPE_CT,50,STREETTYPE_CT,50,1.316089321946766,0.0,0.0,64.34142416351087,64.52219080934998,seg_attr
ud_deg_cntr_SgAsNd,245,ud_deg_cntr_SgAsNd,10,1.2816807402926809,3.171507501065207e-11,9.592326932761353e-14,6.739827743573522,7.5373254052437275,net_SaN
ud_clo_cntr_SgAsNd,238,ud_clo_cntr_SgAsNd,10,1.2719875085433623,4.498357242255224e-11,5.8477667153056245e-12,6.688857996941318,6.9813397242086195,net_SaN
v0ur_Pedestrian,1106,v0ur_Pedestrian,10,1.2343364855553491,1.7067458557562531e-10,6.625500148516039e-11,6.490878298139914,6.631952494211004,v0
d_clo_cntr_SgAsNd,161,d_clo_cntr_SgAsNd,10,1.2079776715959696,4.243037032836128e-10,6.969358423702943e-11,6.352276219516403,6.624482324474416,net_SaN
ud_far_cntr_SgAsNd,259,ud_far_cntr_SgAsNd,10,1.1722350654937614,1.4156302796664022e-09,2.050040137646647e-10,6.1643315149928295,6.463214079085879,net_SaN
311_STREET REPAIR,994,311_STREET REPAIR,10,1.1613522808733014,2.029067580622268e-09,8.316147770415228e-10,6.1071067638362635,6.247975285948981,311
ud_page_rank_SgAsNd,280,ud_page_rank_SgAsNd,10,1.1003175648188184,1.4401952963538633e-08,2.60063615087347e-09,5.786169011235415,6.067357617118607,net_SaN
v0rq_Not enough time to cross,1177,v0rq_Not enough time to cross,50,1.0069399231195149,0.0,0.0,49.22847207968839,49.48999852183668,v0
d_out_deg_SgAsNd,196,d_out_deg_SgAsNd,10,0.9967050445984321,3.188204327209121e-07,2.3705171159349447e-10,5.241345154741072,6.441208531722989,net_SaN
