column,,column,knn,I,p_norm,p_rand,z_norm,z_rand,ftr_type
311_S0499,1270,311_S0499,1,0.9999260300318071,0.0,0.0,94.6514598657165,94.65964845449962,311
STREETTYPE_CRES,60,STREETTYPE_CRES,1,0.9406574907543089,0.0,0.0,89.04160603761257,89.15215259574425,seg_attr
crime_ofn_THEFT F/AUTO,1851,crime_ofn_THEFT F/AUTO,2,0.9007854449458972,0.0,0.0,115.06153476699538,118.87733145589212,crime
crime_mtd_OTHERS,1780,crime_mtd_OTHERS,1,0.8621079381027548,0.0,0.0,81.60677612599585,83.50057283411353,crime
crime_ofn_BURGLARY,1800,crime_ofn_BURGLARY,1,0.8603342729307115,0.0,0.0,81.43889612631213,85.18176403804134,crime
crime_ofn_ROBBERY,1830,crime_ofn_ROBBERY,1,0.8589732662563021,0.0,0.0,81.3100748562828,85.06233080299444,crime
crime_mtd_GUN,1760,crime_mtd_GUN,1,0.8390576590181451,0.0,0.0,79.42503353645384,82.95076825434023,crime
crime_ofn_ASSAULT W/DANGEROUS WEAPON,1790,crime_ofn_ASSAULT W/DANGEROUS WEAPON,1,0.8333530611699244,0.0,0.0,78.88508501626507,82.76734749040416,crime
cycling facilities,710,cycling facilities,1,0.8323664078119064,0.0,0.0,78.79169683452545,81.52381625230116,poi
crime_ofn_THEFT/OTHER,1861,crime_ofn_THEFT/OTHER,2,0.8275367152366931,0.0,0.0,105.70590033291204,106.71518533434478,crime
crime_mtd_KNIFE,1770,crime_mtd_KNIFE,1,0.8246911171305695,0.0,0.0,78.06521935869443,81.30059268295594,crime
ud_node_ecc_SgAsNd,390,ud_node_ecc_SgAsNd,1,0.8234227299885646,0.0,0.0,77.94516466271519,81.4664374705592,net_SaN
ud_far_cntr_SgAsNd,370,ud_far_cntr_SgAsNd,1,0.8231520783218559,0.0,0.0,77.91954708706582,81.6958344068425,net_SaN
crime_ofn_MOTOR VEHICLE THEFT,1820,crime_ofn_MOTOR VEHICLE THEFT,1,0.8215160646351941,0.0,0.0,77.7646960015687,81.36629274857845,crime
crime_ofn_SEX ABUSE,1840,crime_ofn_SEX ABUSE,1,0.7816847027258733,0.0,0.0,73.9945994071613,77.53361180525708,crime
crime_ofn_HOMICIDE,1810,crime_ofn_HOMICIDE,1,0.7559305202875551,0.0,0.0,71.55692841505473,73.13208984652046,crime
d_node_ecc_SgAsNd,270,d_node_ecc_SgAsNd,1,0.7515505883871403,0.0,0.0,71.14236146203206,73.64072754108149,net_SaN
d_clo_cntr_SgAsNd,230,d_clo_cntr_SgAsNd,1,0.7219952201255304,0.0,0.0,68.34490267859344,71.27208364500406,net_SaN
ud_clo_cntr_SgAsNd,340,ud_clo_cntr_SgAsNd,1,0.7165364090228791,0.0,0.0,67.82821823294302,70.7926204388089,net_SaN
