,column,db_b,I,EI,p_norm,p_rand,p_sim,p_z_sim
0,SHAPE_Length,100,0.17356764735076208,-7.395902669920864e-05,0.0,0.0,0.002,0.0
1,SHAPE_Length,150,0.11773038253141462,-7.395902669920864e-05,0.0,0.0,0.002,0.0
2,SHAPE_Length,200,0.09839094043242262,-7.395902669920864e-05,0.0,0.0,0.002,0.0
3,SHAPE_Length,300,0.0866011994445025,-7.395902669920864e-05,0.0,0.0,0.002,0.0
4,SHAPE_Length,400,0.07492436317399358,-7.395902669920864e-05,0.0,0.0,0.002,0.0
5,DIRECTIONALITY_Bi-direction,100,0.30088836574854194,-7.395902669920864e-05,0.0,0.0,0.002,0.0
6,DIRECTIONALITY_Bi-direction,150,0.27547730058207287,-7.395902669920864e-05,0.0,0.0,0.002,0.0
7,DIRECTIONALITY_Bi-direction,200,0.25354184855981116,-7.395902669920864e-05,0.0,0.0,0.002,0.0
8,DIRECTIONALITY_Bi-direction,300,0.22123828887401947,-7.395902669920864e-05,0.0,0.0,0.002,0.0
9,DIRECTIONALITY_Bi-direction,400,0.19525248290113223,-7.395902669920864e-05,0.0,0.0,0.002,0.0
10,DIRECTIONALITY_one-way,100,0.2871335424436291,-7.395902669920864e-05,0.0,0.0,0.002,0.0
11,DIRECTIONALITY_one-way,150,0.2673745262790143,-7.395902669920864e-05,0.0,0.0,0.002,0.0
12,DIRECTIONALITY_one-way,200,0.24475979454350916,-7.395902669920864e-05,0.0,0.0,0.002,0.0
13,DIRECTIONALITY_one-way,300,0.2102623916748534,-7.395902669920864e-05,0.0,0.0,0.002,0.0
14,DIRECTIONALITY_one-way,400,0.18625169423748963,-7.395902669920864e-05,0.0,0.0,0.002,0.0
15,STREETTYPE_AVE,100,0.16869085506701176,-7.395902669920864e-05,0.0,0.0,0.002,0.0
16,STREETTYPE_AVE,150,0.18091034575226522,-7.395902669920864e-05,0.0,0.0,0.002,0.0
17,STREETTYPE_AVE,200,0.15524010056892137,-7.395902669920864e-05,0.0,0.0,0.002,0.0
18,STREETTYPE_AVE,300,0.11299535948368336,-7.395902669920864e-05,0.0,0.0,0.002,0.0
19,STREETTYPE_AVE,400,0.08393443767181163,-7.395902669920864e-05,0.0,0.0,0.002,0.0
20,STREETTYPE_BLVD,100,0.11599800434627536,-7.395902669920864e-05,0.0,0.0,0.002,0.0
21,STREETTYPE_BLVD,150,0.18547979444235124,-7.395902669920864e-05,0.0,0.0,0.002,0.0
22,STREETTYPE_BLVD,200,0.19270609074202558,-7.395902669920864e-05,0.0,0.0,0.002,0.0
23,STREETTYPE_BLVD,300,0.19554495051312565,-7.395902669920864e-05,0.0,0.0,0.002,0.0
24,STREETTYPE_BLVD,400,0.15898006678613769,-7.395902669920864e-05,0.0,0.0,0.002,0.0
25,STREETTYPE_CIR,100,0.5240711638768382,-7.395902669920864e-05,0.0,0.0,0.002,0.0
26,STREETTYPE_CIR,150,0.3332895510848454,-7.395902669920864e-05,0.0,0.0,0.002,0.0
27,STREETTYPE_CIR,200,0.2532126295884449,-7.395902669920864e-05,0.0,0.0,0.002,0.0
28,STREETTYPE_CIR,300,0.13387879539412012,-7.395902669920864e-05,0.0,0.0,0.002,0.0
29,STREETTYPE_CIR,400,0.08092243866426974,-7.395902669920864e-05,0.0,0.0,0.002,0.0
30,STREETTYPE_CRES,100,1.0112114529837408,-7.395902669920864e-05,0.0,0.0,0.002,0.0
31,STREETTYPE_CRES,150,0.8566668337773335,-7.395902669920864e-05,0.0,0.0,0.002,0.0
32,STREETTYPE_CRES,200,0.8114607316745063,-7.395902669920864e-05,0.0,0.0,0.002,0.0
33,STREETTYPE_CRES,300,0.6932888670218351,-7.395902669920864e-05,0.0,0.0,0.002,0.0
34,STREETTYPE_CRES,400,0.558383318633879,-7.395902669920864e-05,0.0,0.0,0.002,0.0
35,STREETTYPE_CT,100,0.44195155780845063,-7.395902669920864e-05,0.0,0.0,0.002,0.0
36,STREETTYPE_CT,150,0.3507001897261157,-7.395902669920864e-05,0.0,0.0,0.002,0.0
37,STREETTYPE_CT,200,0.30721093424842216,-7.395902669920864e-05,0.0,0.0,0.002,0.0
38,STREETTYPE_CT,300,0.2497951053910145,-7.395902669920864e-05,0.0,0.0,0.002,0.0
39,STREETTYPE_CT,400,0.2038124075433431,-7.395902669920864e-05,0.0,0.0,0.002,0.0
40,STREETTYPE_DR,100,0.2179795130207889,-7.395902669920864e-05,0.0,0.0,0.002,0.0
41,STREETTYPE_DR,150,0.23274985077277585,-7.395902669920864e-05,0.0,0.0,0.002,0.0
42,STREETTYPE_DR,200,0.2257068610131771,-7.395902669920864e-05,0.0,0.0,0.002,0.0
43,STREETTYPE_DR,300,0.19648308225603892,-7.395902669920864e-05,0.0,0.0,0.002,0.0
44,STREETTYPE_DR,400,0.16608567463456236,-7.395902669920864e-05,0.0,0.0,0.002,0.0
45,STREETTYPE_LN,100,0.13098646866148145,-7.395902669920864e-05,0.0,0.0,0.002,0.0
46,STREETTYPE_LN,150,0.1366621804626413,-7.395902669920864e-05,0.0,0.0,0.002,0.0
47,STREETTYPE_LN,200,0.10881523452143194,-7.395902669920864e-05,0.0,0.0,0.002,0.0
48,STREETTYPE_LN,300,0.09232749750288753,-7.395902669920864e-05,0.0,0.0,0.002,0.0
49,STREETTYPE_LN,400,0.07348503857757875,-7.395902669920864e-05,0.0,0.0,0.002,0.0
50,STREETTYPE_OTHER,100,0.05071329481014477,-7.395902669920864e-05,2.2355894913062002e-11,2.1713741915618812e-11,0.01,1.2576606422953773e-12
51,STREETTYPE_OTHER,150,0.08034832162125861,-7.395902669920864e-05,0.0,0.0,0.002,0.0
52,STREETTYPE_OTHER,200,0.048115559753579555,-7.395902669920864e-05,0.0,0.0,0.002,0.0
53,STREETTYPE_OTHER,300,0.02160537572290131,-7.395902669920864e-05,0.0,0.0,0.002,0.0
54,STREETTYPE_OTHER,400,0.015888704758195475,-7.395902669920864e-05,0.0,0.0,0.004,2.220446049250313e-16
55,STREETTYPE_PKWY,100,0.07872938302367885,-7.395902669920864e-05,0.0,0.0,0.002,0.0
56,STREETTYPE_PKWY,150,0.11621022763423841,-7.395902669920864e-05,0.0,0.0,0.002,0.0
57,STREETTYPE_PKWY,200,0.10052969062974226,-7.395902669920864e-05,0.0,0.0,0.002,0.0
58,STREETTYPE_PKWY,300,0.0790935707790357,-7.395902669920864e-05,0.0,0.0,0.002,0.0
59,STREETTYPE_PKWY,400,0.06108785146630849,-7.395902669920864e-05,0.0,0.0,0.002,0.0
60,STREETTYPE_PL,100,0.13587732821223136,-7.395902669920864e-05,0.0,0.0,0.002,0.0
61,STREETTYPE_PL,150,0.12760614935243197,-7.395902669920864e-05,0.0,0.0,0.002,0.0
62,STREETTYPE_PL,200,0.12767365955896434,-7.395902669920864e-05,0.0,0.0,0.002,0.0
63,STREETTYPE_PL,300,0.09798587267406304,-7.395902669920864e-05,0.0,0.0,0.002,0.0
64,STREETTYPE_PL,400,0.07952951112900006,-7.395902669920864e-05,0.0,0.0,0.002,0.0
