,column,db_nb,I,EI,p_norm,p_rand,p_sim,p_z_sim
0,SHAPE_Length,100,0.18902293344512253,-7.395902669920864e-05,0.0,0.0,0.002,0.0
1,SHAPE_Length,150,0.14821283859954534,-7.395902669920864e-05,0.0,0.0,0.002,0.0
2,SHAPE_Length,200,0.13204478844468057,-7.395902669920864e-05,0.0,0.0,0.002,0.0
3,SHAPE_Length,300,0.1168616435023568,-7.395902669920864e-05,0.0,0.0,0.002,0.0
4,SHAPE_Length,400,0.10278250824976246,-7.395902669920864e-05,0.0,0.0,0.002,0.0
5,DIRECTIONALITY_Bi-direction,100,0.3000524020249638,-7.395902669920864e-05,0.0,0.0,0.002,0.0
6,DIRECTIONALITY_Bi-direction,150,0.2828110250677825,-7.395902669920864e-05,0.0,0.0,0.002,0.0
7,DIRECTIONALITY_Bi-direction,200,0.26820016314563233,-7.395902669920864e-05,0.0,0.0,0.002,0.0
8,DIRECTIONALITY_Bi-direction,300,0.2443173218682026,-7.395902669920864e-05,0.0,0.0,0.002,0.0
9,DIRECTIONALITY_Bi-direction,400,0.22386192250479736,-7.395902669920864e-05,0.0,0.0,0.002,0.0
10,DIRECTIONALITY_one-way,100,0.28392461895072046,-7.395902669920864e-05,0.0,0.0,0.002,0.0
11,DIRECTIONALITY_one-way,150,0.2717605720578089,-7.395902669920864e-05,0.0,0.0,0.002,0.0
12,DIRECTIONALITY_one-way,200,0.2567588298909068,-7.395902669920864e-05,0.0,0.0,0.002,0.0
13,DIRECTIONALITY_one-way,300,0.23183016052909172,-7.395902669920864e-05,0.0,0.0,0.002,0.0
14,DIRECTIONALITY_one-way,400,0.2128289525851396,-7.395902669920864e-05,0.0,0.0,0.002,0.0
15,STREETTYPE_AVE,100,0.14859740882399947,-7.395902669920864e-05,0.0,0.0,0.002,0.0
16,STREETTYPE_AVE,150,0.16833103617799744,-7.395902669920864e-05,0.0,0.0,0.002,0.0
17,STREETTYPE_AVE,200,0.15503232886916096,-7.395902669920864e-05,0.0,0.0,0.002,0.0
18,STREETTYPE_AVE,300,0.1275247722870013,-7.395902669920864e-05,0.0,0.0,0.002,0.0
19,STREETTYPE_AVE,400,0.10663186522365806,-7.395902669920864e-05,0.0,0.0,0.002,0.0
20,STREETTYPE_BLVD,100,0.10776559628767324,-7.395902669920864e-05,0.0,0.0,0.002,0.0
21,STREETTYPE_BLVD,150,0.17330227892822317,-7.395902669920864e-05,0.0,0.0,0.002,0.0
22,STREETTYPE_BLVD,200,0.18754027188081612,-7.395902669920864e-05,0.0,0.0,0.002,0.0
23,STREETTYPE_BLVD,300,0.19865807828112225,-7.395902669920864e-05,0.0,0.0,0.002,0.0
24,STREETTYPE_BLVD,400,0.16675943960077888,-7.395902669920864e-05,0.0,0.0,0.002,0.0
25,STREETTYPE_CIR,100,0.5722802521931235,-7.395902669920864e-05,0.0,0.0,0.002,0.0
26,STREETTYPE_CIR,150,0.424721245648343,-7.395902669920864e-05,0.0,0.0,0.002,0.0
27,STREETTYPE_CIR,200,0.36836508924702827,-7.395902669920864e-05,0.0,0.0,0.002,0.0
28,STREETTYPE_CIR,300,0.2757927914780317,-7.395902669920864e-05,0.0,0.0,0.002,0.0
29,STREETTYPE_CIR,400,0.22199733261370977,-7.395902669920864e-05,0.0,0.0,0.002,0.0
30,STREETTYPE_CRES,100,1.02016004007966,-7.395902669920864e-05,0.0,0.0,0.002,0.0
31,STREETTYPE_CRES,150,0.882634704535554,-7.395902669920864e-05,0.0,0.0,0.002,0.0
32,STREETTYPE_CRES,200,0.8476424740397055,-7.395902669920864e-05,0.0,0.0,0.002,0.0
33,STREETTYPE_CRES,300,0.7815254054745657,-7.395902669920864e-05,0.0,0.0,0.002,0.0
34,STREETTYPE_CRES,400,0.7149203929175489,-7.395902669920864e-05,0.0,0.0,0.002,0.0
35,STREETTYPE_CT,100,0.45462926436171347,-7.395902669920864e-05,0.0,0.0,0.002,0.0
36,STREETTYPE_CT,150,0.374236997285963,-7.395902669920864e-05,0.0,0.0,0.002,0.0
37,STREETTYPE_CT,200,0.34316233697521287,-7.395902669920864e-05,0.0,0.0,0.002,0.0
38,STREETTYPE_CT,300,0.3040841806567094,-7.395902669920864e-05,0.0,0.0,0.002,0.0
39,STREETTYPE_CT,400,0.2726984797497674,-7.395902669920864e-05,0.0,0.0,0.002,0.0
40,STREETTYPE_DR,100,0.21356077264524215,-7.395902669920864e-05,0.0,0.0,0.002,0.0
41,STREETTYPE_DR,150,0.22789729929342864,-7.395902669920864e-05,0.0,0.0,0.002,0.0
42,STREETTYPE_DR,200,0.22569508002672012,-7.395902669920864e-05,0.0,0.0,0.002,0.0
43,STREETTYPE_DR,300,0.20906667231856493,-7.395902669920864e-05,0.0,0.0,0.002,0.0
44,STREETTYPE_DR,400,0.18666220981716514,-7.395902669920864e-05,0.0,0.0,0.002,0.0
45,STREETTYPE_LN,100,0.12685914795683156,-7.395902669920864e-05,0.0,0.0,0.002,0.0
46,STREETTYPE_LN,150,0.13080275021472593,-7.395902669920864e-05,0.0,0.0,0.002,0.0
47,STREETTYPE_LN,200,0.11375518498250572,-7.395902669920864e-05,0.0,0.0,0.002,0.0
48,STREETTYPE_LN,300,0.10510398395087316,-7.395902669920864e-05,0.0,0.0,0.002,0.0
49,STREETTYPE_LN,400,0.09268357966315802,-7.395902669920864e-05,0.0,0.0,0.002,0.0
50,STREETTYPE_OTHER,100,0.059445821597293086,-7.395902669920864e-05,9.325873406851315e-15,8.881784197001252e-15,0.01,9.348077867343818e-14
51,STREETTYPE_OTHER,150,0.08186194461487382,-7.395902669920864e-05,0.0,0.0,0.002,0.0
52,STREETTYPE_OTHER,200,0.06106979586052232,-7.395902669920864e-05,0.0,0.0,0.002,0.0
53,STREETTYPE_OTHER,300,0.04031522220575923,-7.395902669920864e-05,0.0,0.0,0.002,0.0
54,STREETTYPE_OTHER,400,0.032414706336239406,-7.395902669920864e-05,0.0,0.0,0.002,0.0
